# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x), idx_c=2 (tp)
# range_a=[0.24, 0.5], steps_a=6
# range_b=[-0.06, -0.4], steps_b=6
# range_c=[0.6, 1.4], steps_c=6
length,delta_x,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.344,-0.4,1.24,0.26009808,0.016156238,0.036343052,0.010622661,0.020679744,0.67072218,4.5374943,0.74530741,3.4364814,0.025714512
0.344,-0.4,1.4,0.27668808,0.016742673,0.039488963,0.010234496,0.020237992,0.61127436,4.2937322,0.73323305,3.711588,0.02952692
0.396,-0.06,0.6,0.34364308,0.018750911,0.038591763,0.0056579563,0.011344217,0.33154719,2.5049545,0.23923204,0.94050037,0.016561068
0.396,-0.06,0.76,0.38764308,0.018934948,0.039513502,0.0048439502,0.0093893729,0.28336246,2.3437873,0.15169964,0.84886392,0.014192687
0.396,-0.06,0.92,0.41734308,0.018876432,0.039945389,0.0045763674,0.0088001215,0.27566579,2.4024749,0.12183202,0.82048144,0.013708643
0.396,-0.06,1.08,0.43802308,0.018270973,0.038586997,0.0044879088,0.0088093136,0.27013259,2.3908989,0.10310148,0.69873329,0.013092041
0.396,-0.06,1.24,0.45298308,0.018125618,0.038756631,0.0044337529,0.0088518385,0.27715947,2.5030434,0.10736706,0.77718244,0.014827776
0.396,-0.06,1.4,0.46396008,0.017890621,0.038544949,0.004434108,0.0089971677,0.27483826,2.5178187,0.11553092,0.86154785,0.016939468
0.396,-0.128,0.6,0.23815308,0.017248093,0.037747541,0.010211858,0.019339294,0.6500948,3.9645669,0.66986843,2.6374052,0.018540865
0.396,-0.128,0.76,0.28081508,0.017515355,0.0377726,0.0076029985,0.015002951,0.51866299,3.6425486,0.41320603,1.8240796,0.017267032
0.396,-0.128,0.92,0.31430608,0.017924662,0.039286105,0.0066124629,0.01320636,0.45694063,3.4284608,0.31949282,1.6184181,0.017694693
0.396,-0.128,1.08,0.34052108,0.017834646,0.039253891,0.0061919222,0.012536548,0.42979436,3.3713434,0.27398485,1.4482174,0.01853901
0.396,-0.128,1.24,0.36138608,0.017711453,0.03928887,0.0058815985,0.012072967,0.41015888,3.3284717,0.26324294,1.6266087,0.020667373
0.396,-0.128,1.4,0.37818508,0.017485637,0.038832213,0.0057483976,0.012182203,0.4076108,3.3796823,0.24589403,1.4376441,0.021627631
0.396,-0.196,0.6,0.20581308,0.016609378,0.037677174,0.014088304,0.025631855,0.82071239,4.7366472,1.0143584,3.5788561,0.019492782
0.396,-0.196,0.76,0.24483108,0.017530751,0.039832186,0.0097841373,0.018937329,0.64091106,4.1939671,0.65193526,2.931998,0.019336186
0.396,-0.196,0.92,0.27758508,0.017503182,0.039160972,0.008131778,0.016144863,0.56853613,4.0133683,0.47845335,2.2428067,0.019423607
0.396,-0.196,1.08,0.30435508,0.017419302,0.038870004,0.0074167372,0.014862674,0.50812482,3.7563202,0.4031428,2.0013511,0.020602043
