X(mm),Y(mm),Z(mm)
-43.357819,-910.761546,0.000000
-43.317813,-910.648546,0.000000
-43.277808,-910.535546,0.000000
-43.237803,-910.422546,0.000000
-43.197798,-910.309546,0.000000
-43.157792,-910.196546,0.000000
-43.117787,-910.083546,0.000000
-43.077782,-909.970546,0.000000
-43.037777,-909.857546,0.000000
-42.997771,-909.744546,0.000000
-42.957766,-909.631546,0.000000
-42.917761,-909.518546,0.000000
-42.877756,-909.405546,0.000000
-42.837750,-909.292546,0.000000
-42.797745,-909.179546,0.000000
-42.757740,-909.066546,0.000000
-42.717735,-908.953546,0.000000
-42.677729,-908.840546,0.000000
-42.637724,-908.727546,0.000000
-42.597719,-908.614546,0.000000
-42.557714,-908.501546,0.000000
-42.517708,-908.388546,0.000000
-42.477703,-908.275546,0.000000
-42.437698,-908.162546,0.000000
-42.397693,-908.049546,0.000000
-42.357687,-907.936546,0.000000
-42.317682,-907.823546,0.000000
-42.277677,-907.710546,0.000000
-42.237672,-907.597546,0.000000
-42.197666,-907.484546,0.000000
-42.157661,-907.371546,0.000000
-42.117656,-907.258546,0.000000
-42.077651,-907.145546,0.000000
-42.037645,-907.032546,0.000000
-41.997640,-906.919546,0.000000
-41.957635,-906.806546,0.000000
-41.917630,-906.693546,0.000000
-41.877625,-906.580546,0.000000
-41.837619,-906.467546,0.000000
-41.797614,-906.354546,0.000000
-41.757609,-906.241546,0.000000
-41.717604,-906.128546,0.000000
-41.677598,-906.015546,0.000000
-41.637593,-905.902546,0.000000
-41.597588,-905.789546,0.000000
-41.557583,-905.676546,0.000000
-41.517577,-905.563546,0.000000
-41.477572,-905.450546,0.000000
-41.437567,-905.337546,0.000000
-41.397562,-905.224546,0.000000
-41.357556,-905.111546,0.000000
-41.317551,-904.998546,0.000000
-41.277546,-904.885546,0.000000
-41.237541,-904.772546,0.000000
-41.197535,-904.659546,0.000000
-41.157530,-904.546546,0.000000
-41.117525,-904.433546,0.000000
-41.077520,-904.320546,0.000000
-41.037514,-904.207546,0.000000
-40.997509,-904.094546,0.000000
-40.957504,-903.981546,0.000000
-40.917499,-903.868546,0.000000
-40.877493,-903.755546,0.000000
-40.837488,-903.642546,0.000000
-40.797483,-903.529546,0.000000
-40.757478,-903.416546,0.000000
-40.717472,-903.303546,0.000000
-40.677467,-903.190546,0.000000
-40.637462,-903.077546,0.000000
-40.597457,-902.964546,0.000000
-40.557451,-902.851546,0.000000
-40.517446,-902.738546,0.000000
-40.477441,-902.625546,0.000000
-40.437436,-902.512546,0.000000
-40.397430,-902.399546,0.000000
-40.357425,-902.286546,0.000000
-40.317420,-902.173546,0.000000
-40.277415,-902.060546,0.000000
-40.237410,-901.947546,0.000000
-40.197404,-901.834546,0.000000
-40.157399,-901.721546,0.000000
-40.117394,-901.608546,0.000000
-40.077389,-901.495546,0.000000
-40.037383,-901.382546,0.000000
-39.997378,-901.269546,0.000000
-39.957373,-901.156546,0.000000
-39.917368,-901.043546,0.000000
-39.877362,-900.930546,0.000000
-39.837357,-900.817546,0.000000
-39.797352,-900.704546,0.000000
-39.757347,-900.591546,0.000000
-39.717341,-900.478546,0.000000
-39.677336,-900.365546,0.000000
-39.637331,-900.252546,0.000000
-39.597326,-900.139546,0.000000
-39.557320,-900.026546,0.000000
-39.517315,-899.913546,0.000000
-39.477310,-899.800546,0.000000
-39.437305,-899.687546,0.000000
-39.397299,-899.574546,0.000000
-39.357294,-899.461546,0.000000
-39.317289,-899.348546,0.000000
-39.277284,-899.235546,0.000000
-39.237278,-899.122546,0.000000
-39.197273,-899.009546,0.000000
-39.157268,-898.896546,0.000000
-39.117263,-898.783546,0.000000
-39.077257,-898.670546,0.000000
-39.037252,-898.557546,0.000000
-38.997247,-898.444546,0.000000
-38.957242,-898.331546,0.000000
-38.917236,-898.218546,0.000000
-38.877231,-898.105546,0.000000
-38.837226,-897.992546,0.000000
-38.797221,-897.879546,0.000000
-38.757215,-897.766546,0.000000
-38.717210,-897.653546,0.000000
-38.677205,-897.540546,0.000000
-38.637200,-897.427546,0.000000
-38.597195,-897.314546,0.000000
-38.557189,-897.201546,0.000000
-38.517184,-897.088546,0.000000
-38.477179,-896.975546,0.000000
-38.437174,-896.862546,0.000000
-38.397168,-896.749546,0.000000
-38.357163,-896.636546,0.000000
-38.317158,-896.523546,0.000000
-38.277153,-896.410546,0.000000
-38.237147,-896.297546,0.000000
-38.197142,-896.184546,0.000000
-38.157137,-896.071546,0.000000
-38.117132,-895.958546,0.000000
-38.077126,-895.845546,0.000000
-38.037121,-895.732546,0.000000
-37.997116,-895.619546,0.000000
-37.957111,-895.506546,0.000000
-37.917105,-895.393546,0.000000
-37.877100,-895.280546,0.000000
-37.837095,-895.167546,0.000000
-37.797090,-895.054546,0.000000
-37.757084,-894.941546,0.000000
-37.717079,-894.828546,0.000000
-37.677074,-894.715546,0.000000
-37.637069,-894.602546,0.000000
-37.597063,-894.489546,0.000000
-37.557058,-894.376546,0.000000
-37.517053,-894.263546,0.000000
-37.477048,-894.150546,0.000000
-37.437042,-894.037546,0.000000
-37.397037,-893.924546,0.000000
-37.357032,-893.811546,0.000000
-37.317027,-893.698546,0.000000
-37.277021,-893.585546,0.000000
-37.237016,-893.472546,0.000000
-37.197011,-893.359546,0.000000
-37.157006,-893.246546,0.000000
-37.117000,-893.133546,0.000000
-37.076995,-893.020546,0.000000
-37.036990,-892.907546,0.000000
-36.996985,-892.794546,0.000000
-36.956980,-892.681546,0.000000
-36.916974,-892.568546,0.000000
-36.876969,-892.455546,0.000000
-36.836964,-892.342546,0.000000
-36.796959,-892.229546,0.000000
-36.756953,-892.116546,0.000000
-36.716948,-892.003546,0.000000
-36.676943,-891.890546,0.000000
-36.636938,-891.777546,0.000000
-36.596932,-891.664546,0.000000
-36.556927,-891.551546,0.000000
-36.516922,-891.438546,0.000000
-36.476917,-891.325546,0.000000
-36.436911,-891.212546,0.000000
-36.396906,-891.099546,0.000000
-36.356901,-890.986546,0.000000
-36.316896,-890.873546,0.000000
-36.276890,-890.760546,0.000000
-36.236885,-890.647546,0.000000
-36.196880,-890.534546,0.000000
-36.156875,-890.421546,0.000000
-36.116869,-890.308546,0.000000
-36.076864,-890.195546,0.000000
-36.036859,-890.082546,0.000000
-35.996854,-889.969546,0.000000
-35.956848,-889.856546,0.000000
-35.916843,-889.743546,0.000000
-35.876838,-889.630546,0.000000
-35.836833,-889.517546,0.000000
-35.796827,-889.404546,0.000000
-35.756822,-889.291546,0.000000
-35.716817,-889.178546,0.000000
-35.676812,-889.065546,0.000000
-35.636806,-888.952546,0.000000
-35.596801,-888.839546,0.000000
-35.556796,-888.726546,0.000000
-35.516791,-888.613546,0.000000
-35.476785,-888.500546,0.000000
-35.436780,-888.387546,0.000000
