X(mm),Y(mm),Z(mm)
-31.695849,1054.090818,0.000000
-31.567965,1053.660732,0.000000
-31.440081,1053.230646,0.000000
-31.312198,1052.800560,0.000000
-31.184314,1052.370474,0.000000
-31.056431,1051.940388,0.000000
-30.928547,1051.510302,0.000000
-30.800664,1051.080216,0.000000
-30.672780,1050.650130,0.000000
-30.544897,1050.220044,0.000000
-30.417013,1049.789958,0.000000
-30.289129,1049.359872,0.000000
-30.161246,1048.929786,0.000000
-30.033362,1048.499700,0.000000
-29.905479,1048.069614,0.000000
-29.777595,1047.639528,0.000000
-29.649712,1047.209442,0.000000
-29.521828,1046.779356,0.000000
-29.393944,1046.349270,0.000000
-29.266061,1045.919184,0.000000
-29.138177,1045.489098,0.000000
-29.010294,1045.059012,0.000000
-28.882410,1044.628926,0.000000
-28.754527,1044.198840,0.000000
-28.626643,1043.768754,0.000000
-28.498760,1043.338668,0.000000
-28.370876,1042.908582,0.000000
-28.242992,1042.478496,0.000000
-28.115109,1042.048410,0.000000
-27.987225,1041.618324,0.000000
-27.859342,1041.188238,0.000000
-27.731458,1040.758152,0.000000
-27.603575,1040.328066,0.000000
-27.475691,1039.897980,0.000000
-27.347807,1039.467894,0.000000
-27.219924,1039.037808,0.000000
-27.092040,1038.607722,0.000000
-26.964157,1038.177636,0.000000
-26.836273,1037.747550,0.000000
-26.708390,1037.317463,0.000000
-26.580506,1036.887377,0.000000
-26.452623,1036.457291,0.000000
-26.324739,1036.027205,0.000000
-26.196855,1035.597119,0.000000
-26.068972,1035.167033,0.000000
-25.941088,1034.736947,0.000000
-25.813205,1034.306861,0.000000
-25.685321,1033.876775,0.000000
-25.557438,1033.446689,0.000000
-25.429554,1033.016603,0.000000
-25.301670,1032.586517,0.000000
-25.173787,1032.156431,0.000000
-25.045903,1031.726345,0.000000
-24.918020,1031.296259,0.000000
-24.790136,1030.866173,0.000000
-24.662253,1030.436087,0.000000
-24.534369,1030.006001,0.000000
-24.406486,1029.575915,0.000000
-24.278602,1029.145829,0.000000
-24.150718,1028.715743,0.000000
-24.022835,1028.285657,0.000000
-23.894951,1027.855571,0.000000
-23.767068,1027.425485,0.000000
-23.639184,1026.995399,0.000000
-23.511301,1026.565313,0.000000
-23.383417,1026.135227,0.000000
-23.255533,1025.705141,0.000000
-23.127650,1025.275055,0.000000
-22.999766,1024.844969,0.000000
-22.871883,1024.414883,0.000000
-22.743999,1023.984797,0.000000
-22.616116,1023.554711,0.000000
-22.488232,1023.124625,0.000000
-22.360349,1022.694539,0.000000
-22.232465,1022.264453,0.000000
-22.104581,1021.834367,0.000000
-21.976698,1021.404281,0.000000
-21.848814,1020.974195,0.000000
-21.720931,1020.544109,0.000000
-21.593047,1020.114023,0.000000
-21.465164,1019.683937,0.000000
-21.337280,1019.253851,0.000000
-21.209396,1018.823765,0.000000
-21.081513,1018.393679,0.000000
-20.953629,1017.963593,0.000000
-20.825746,1017.533507,0.000000
-20.697862,1017.103421,0.000000
-20.569979,1016.673335,0.000000
-20.442095,1016.243249,0.000000
-20.314212,1015.813163,0.000000
-20.186328,1015.383077,0.000000
-20.058444,1014.952991,0.000000
-19.930620,1014.522905,0.000000
-19.803157,1014.092819,0.000000
-19.676101,1013.662733,0.000000
-19.549449,1013.232647,0.000000
-19.423205,1012.802561,0.000000
-19.297367,1012.372474,0.000000
-19.171942,1011.942388,0.000000
-19.046929,1011.512302,0.000000
-18.922330,1011.082216,0.000000
-18.798142,1010.652130,0.000000
-18.674371,1010.222044,0.000000
-18.551015,1009.791958,0.000000
-18.428082,1009.361872,0.000000
-18.305565,1008.931786,0.000000
-18.183470,1008.501700,0.000000
-18.061793,1008.071614,0.000000
-17.940541,1007.641528,0.000000
-17.819714,1007.211442,0.000000
-17.699315,1006.781356,0.000000
-17.579337,1006.351270,0.000000
-17.459789,1005.921184,0.000000
-17.340665,1005.491098,0.000000
-17.221978,1005.061012,0.000000
-17.103717,1004.630926,0.000000
-16.985891,1004.200840,0.000000
-16.868492,1003.770754,0.000000
-16.751530,1003.340668,0.000000
-16.635002,1002.910582,0.000000
-16.518913,1002.480496,0.000000
-16.403256,1002.050410,0.000000
-16.288039,1001.620324,0.000000
-16.173255,1001.190238,0.000000
-16.058917,1000.760152,0.000000
-15.945016,1000.330066,0.000000
-15.831559,999.899980,0.000000
-15.718538,999.469894,0.000000
-15.605963,999.039808,0.000000
-15.493828,998.609722,0.000000
-15.382144,998.179636,0.000000
-15.270899,997.749550,0.000000
-15.160103,997.319464,0.000000
-15.049748,996.889378,0.000000
-14.939845,996.459292,0.000000
-14.830387,996.029206,0.000000
-14.721382,995.599120,0.000000
-14.612820,995.169034,0.000000
-14.504711,994.738948,0.000000
-14.397047,994.308862,0.000000
-14.289843,993.878776,0.000000
-14.183084,993.448690,0.000000
-14.076780,993.018604,0.000000
-13.970924,992.588518,0.000000
-13.865523,992.158432,0.000000
-13.760577,991.728346,0.000000
-13.656087,991.298260,0.000000
-13.552047,990.868174,0.000000
-13.448465,990.438088,0.000000
-13.345333,990.008002,0.000000
-13.242664,989.577916,0.000000
-13.140448,989.147830,0.000000
-13.038690,988.717744,0.000000
-12.937385,988.287658,0.000000
-12.836539,987.857572,0.000000
-12.736150,987.427485,0.000000
-12.636223,986.997399,0.000000
