# zone=Trailing
# idx_a=1 (length), idx_b=2 (tp)
# range_a=[0.5, 0.8], steps_a=10
# range_b=[1.05, 1.3], steps_b=10
length,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.56666667,1.1611111,0.68366667,0.014714274,0.015254323,0.0051746176,0.0082232932,0.062760102,0.17445368,0.036334555,0.079734995,0.014042061
0.56666667,1.1888889,0.68366667,0.014708846,0.015251189,0.0052398248,0.0083658528,0.066680522,0.17365215,0.036213279,0.080149233,0.013995192
0.56666667,1.2166667,0.68366667,0.014703087,0.015249102,0.005305006,0.0085101707,0.061558042,0.17879978,0.036300954,0.07787493,0.014029075
0.56666667,1.2444444,0.68366667,0.014697384,0.015246347,0.0053723897,0.0086533674,0.065181601,0.1723427,0.036627632,0.072978519,0.014155325
0.56666667,1.2722222,0.68366667,0.014691507,0.015244031,0.0054370221,0.0088331353,0.063667411,0.17338302,0.036986222,0.074374717,0.014293908
0.56666667,1.3,0.68366667,0.014685185,0.015243142,0.0055059518,0.0089853328,0.064494175,0.16669815,0.037584618,0.070370081,0.014525167
0.6,1.05,0.717,0.014784505,0.015252799,0.0046313771,0.0079157078,0.064202323,0.1695375,0.031998607,0.088450022,0.013929289
0.6,1.0777778,0.717,0.014780667,0.015249319,0.0046911202,0.0079157078,0.056412976,0.16210962,0.030839387,0.078806094,0.01342467
0.6,1.1055556,0.717,0.014776484,0.015245454,0.0047535073,0.0079157078,0.058023397,0.16669662,0.030413587,0.078550472,0.013239316
0.6,1.1333333,0.717,0.014771889,0.015242733,0.0048174951,0.0079157078,0.057408569,0.16831603,0.030026356,0.072054796,0.013070751
0.6,1.1611111,0.717,0.014767612,0.015239883,0.0048803432,0.0079157078,0.069599113,0.17611174,0.030226456,0.072207402,0.013157856
0.6,1.1888889,0.717,0.014762303,0.015237843,0.0049470209,0.0079157078,0.059424656,0.15325624,0.030088797,0.06834812,0.013097931
0.6,1.2166667,0.717,0.014757346,0.015235565,0.0050150509,0.0079157078,0.059709376,0.16211041,0.03017501,0.06818967,0.013135461
0.6,1.2444444,0.717,0.014751931,0.01523276,0.0050797723,0.0079157078,0.060783342,0.18298846,0.030526833,0.06088902,0.013288613
0.6,1.2722222,0.717,0.014746255,0.015231568,0.0051482008,0.007964672,0.064621901,0.17225878,0.030856407,0.066204918,0.013432079
0.6,1.3,0.717,0.014740669,0.015228054,0.0052137338,0.0080845449,0.062108895,0.18956412,0.031428525,0.061095602,0.013681127
0.63333333,1.05,0.75033333,0.014829104,0.015239421,0.0043731761,0.0079157338,0.056844216,0.18010574,0.026360541,0.071559037,0.012855528
0.63333333,1.0777778,0.75033333,0.014825578,0.015236244,0.0044362534,0.0079157338,0.063853554,0.1668893,0.025865817,0.073223766,0.012614261
0.63333333,1.1055556,0.75033333,0.014821614,0.015232029,0.0044982308,0.0079157338,0.057666209,0.16235767,0.025399663,0.066645126,0.012386927
0.63333333,1.1333333,0.75033333,0.014817754,0.015230239,0.0045626628,0.0079157338,0.0615941,0.17068347,0.025327503,0.064835137,0.012351735
0.63333333,1.1611111,0.75033333,0.014813265,0.015227288,0.0046306605,0.0079157338,0.057767904,0.18207582,0.02517854,0.063172365,0.012279089
0.63333333,1.1888889,0.75033333,0.014808948,0.015226277,0.0046958988,0.0079157338,0.061223624,0.16526533,0.025314232,0.062214323,0.012345263
0.63333333,1.2166667,0.75033333,0.014804117,0.015223448,0.0047625057,0.0079157338,0.061834726,0.15889639,0.02554014,0.057702215,0.012455434
0.63333333,1.2444444,0.75033333,0.014799144,0.015222864,0.0048290218,0.0079157338,0.066068993,0.17240075,0.025684004,0.058485316,0.012525594
0.63333333,1.2722222,0.75033333,0.0147944,0.015220299,0.0048929355,0.0079157338,0.063988041,0.16703248,0.026152224,0.055782969,0.012753936
0.63333333,1.3,0.75033333,0.014789084,0.015220439,0.0049602557,0.0079157338,0.064938337,0.17037176,0.026482046,0.057589017,0.012914784
0.66666667,1.05,0.78366667,0.014865163,0.015227413,0.0041684556,0.0079157939,0.058797713,0.15492189,0.022427086,0.065704181,0.012192739
0.66666667,1.0777778,0.78366667,0.014861941,0.015224762,0.0042326375,0.0079157939,0.061760401,0.17132823,0.022056427,0.062046308,0.011991226
0.66666667,1.1055556,0.78366667,0.014858273,0.015222916,0.0043009789,0.0079157939,0.060509913,0.15234473,0.021784271,0.062157359,0.011843265
0.66666667,1.1333333,0.78366667,0.014854605,0.015219895,0.0043645019,0.0079157939,0.058041337,0.16540322,0.021675311,0.057971567,0.011784028
0.66666667,1.1611111,0.78366667,0.014850925,0.01521867,0.0044302652,0.0079157939,0.061009942,0.18145372,0.021757563,0.057926871,0.011828746
0.66666667,1.1888889,0.78366667,0.014846602,0.015215578,0.0044959085,0.0079157939,0.062549853,0.16774827,0.021727079,0.051887381,0.011812173
0.66666667,1.2166667,0.78366667,0.014842309,0.015214139,0.0045631634,0.0079157939,0.06437405,0.17795837,0.022002801,0.048900135,0.011962072
0.66666667,1.2444444,0.78366667,0.014837903,0.015213491,0.0046300202,0.0079157939,0.05851925,0.15700981,0.022143631,0.049044019,0.012038636
0.66666667,1.2722222,0.78366667,0.014833306,0.015211951,0.0046945189,0.0079157939,0.057209104,0.18236327,0.022207406,0.048057311,0.012073308
