# zone=Leading
# idx_a=0 (length), idx_b=1 (tp)
# range_a=[0.55, 0.7], steps_a=10
# range_b=[1.0, 1.3], steps_b=10
length,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.63333333,1.2,0.74933333,0.013882088,0.014999814,0.013277531,0.02086482,0.044475362,0.14706704,0.034080944,0.090206394,0.016565298
0.63333333,1.2333333,0.74933333,0.013876942,0.014999799,0.013314102,0.021011516,0.046182797,0.12195341,0.034205304,0.083942487,0.016625744
0.63333333,1.2666667,0.74933333,0.0138717,0.01499982,0.013353084,0.021174566,0.044248679,0.13507953,0.034493901,0.088723624,0.016766019
0.63333333,1.3,0.74933333,0.013866273,0.014999799,0.013392037,0.021342565,0.048403027,0.11401637,0.035076248,0.087438345,0.017049072
0.65,1,0.766,0.0139431,0.014999834,0.012913647,0.020042914,0.041791936,0.12017539,0.035020985,0.072773068,0.017984579
0.65,1.0333333,0.766,0.013939906,0.014999834,0.012944479,0.020034442,0.042269781,0.11133692,0.033734929,0.078932392,0.017324141
0.65,1.0666667,0.766,0.01393652,0.014999811,0.012976078,0.020036258,0.044822952,0.1440109,0.033212177,0.075833941,0.017055689
0.65,1.1,0.766,0.013932593,0.014999812,0.01300984,0.020100922,0.042848856,0.10531166,0.0326048,0.083500935,0.016743778
0.65,1.1333333,0.766,0.013928587,0.014999818,0.013043611,0.020171232,0.041060659,0.11161889,0.032177489,0.07962408,0.016524338
0.65,1.1666667,0.766,0.013923938,0.014999829,0.013081,0.020299878,0.045980987,0.12159452,0.032426464,0.078612681,0.016652196
0.65,1.2,0.766,0.01391937,0.014999835,0.01311484,0.020423638,0.048535608,0.1285224,0.032635301,0.089308066,0.016759442
0.65,1.2333333,0.766,0.013914407,0.014999832,0.013153178,0.02057597,0.044057412,0.13388733,0.032787812,0.082308288,0.016837762
0.65,1.2666667,0.766,0.01390932,0.014999823,0.01319031,0.020736995,0.049878002,0.13524287,0.033384289,0.087606281,0.017144075
0.65,1.3,0.766,0.013904177,0.014999798,0.013227813,0.020897698,0.047272833,0.12863031,0.033534154,0.097229987,0.017221036
0.66666667,1,0.78266667,0.013977424,0.014999832,0.012760019,0.019735895,0.046007836,0.13160619,0.033350069,0.075264268,0.018073357
0.66666667,1.0333333,0.78266667,0.013974393,0.014999829,0.012791613,0.019730352,0.046042059,0.12014358,0.032535716,0.075513925,0.017632036
0.66666667,1.0666667,0.78266667,0.013970957,0.014999793,0.012823779,0.019732508,0.04347037,0.11338436,0.031549712,0.071152231,0.017097692
0.66666667,1.1,0.78266667,0.013967358,0.014999832,0.01285667,0.01975374,0.044319484,0.11911082,0.030896267,0.076080985,0.016743572
0.66666667,1.1333333,0.78266667,0.013963221,0.01499983,0.01289227,0.019828714,0.046676845,0.1245695,0.031172779,0.074268927,0.016893422
0.66666667,1.1666667,0.78266667,0.013959115,0.014999832,0.012925638,0.019910108,0.043737729,0.13348254,0.030799256,0.080643276,0.016690998
0.66666667,1.2,0.78266667,0.013954508,0.014999834,0.012961317,0.020018489,0.045310322,0.14458752,0.031113741,0.088720279,0.016861427
0.66666667,1.2333333,0.78266667,0.013949902,0.01499983,0.012996614,0.020155231,0.044708991,0.1147936,0.031084622,0.080683946,0.016845647
0.66666667,1.2666667,0.78266667,0.013944806,0.01499982,0.013036958,0.020318468,0.04856705,0.14529118,0.031623893,0.088764209,0.017137893
0.66666667,1.3,0.78266667,0.013939896,0.014999835,0.013072595,0.020472953,0.046640771,0.11825693,0.032019061,0.083724263,0.017352046
0.68333333,1,0.79933333,0.014016344,0.01499981,0.012577226,0.019450834,0.042102044,0.12438255,0.032010063,0.068412121,0.018285479
0.68333333,1.0333333,0.79933333,0.014013478,0.014999805,0.01260915,0.019442786,0.038406229,0.11402808,0.030823521,0.069443,0.017607677
0.68333333,1.0666667,0.79933333,0.014010318,0.014999791,0.012639663,0.019453425,0.042190009,0.12795419,0.030414323,0.072164293,0.017373926
0.68333333,1.1,0.79933333,0.014006789,0.014999831,0.012673225,0.019458502,0.048316605,0.13248114,0.03061703,0.080014958,0.01748972
0.68333333,1.1333333,0.79933333,0.014002943,0.014999832,0.012706975,0.019490755,0.045752498,0.13973242,0.030247639,0.076863465,0.017278709
0.68333333,1.1666667,0.79933333,0.013998765,0.014999833,0.012742854,0.019555137,0.046857281,0.12722975,0.03013645,0.083427752,0.017215193
0.68333333,1.2,0.79933333,0.013994474,0.014999833,0.012776713,0.019650868,0.043448684,0.12968665,0.030239124,0.076919239,0.017273845
0.68333333,1.2333333,0.79933333,0.013989882,0.014999834,0.012814585,0.019780229,0.046396809,0.11294068,0.030612852,0.080143381,0.017487334
0.68333333,1.2666667,0.79933333,0.013985309,0.014999814,0.01284942,0.019914533,0.040758859,0.12515765,0.030394063,0.086083688,0.017362353
0.68333333,1.3,0.79933333,0.013980442,0.014999791,0.012886689,0.020071993,0.045599894,0.14287425,0.0309586,0.083184452,0.01768484
0.7,1,0.816,0.014046707,0.014999893,0.012439803,0.019155175,0.042303022,0.1149209,0.030367538,0.071264771,0.018265644
0.7,1.0333333,0.816,0.014044011,0.014999892,0.012470435,0.01916579,0.042638504,0.12459651,0.029574152,0.071858868,0.017788433
0.7,1.0666667,0.816,0.014040755,0.014999891,0.012503332,0.019176973,0.045873121,0.11812148,0.029230403,0.079359203,0.017581673
0.7,1.1,0.816,0.014037462,0.014999889,0.012534998,0.019178048,0.046506768,0.13846646,0.02884947,0.0697796,0.017352547
0.7,1.1333333,0.816,0.014033617,0.014999888,0.012570282,0.019225685,0.043247686,0.13660181,0.028558508,0.070891645,0.017177538
0.7,1.1666667,0.816,0.014029811,0.014999886,0.012603358,0.019261515,0.04275536,0.12482285,0.02852745,0.07669226,0.017158857
0.7,1.2,0.816,0.014025482,0.014999884,0.012638875,0.019331001,0.043582282,0.11741094,0.028438784,0.073961495,0.017105526
0.7,1.2333333,0.816,0.014021274,0.014999883,0.01267393,0.019418128,0.048886472,0.13436417,0.029369992,0.080018202,0.017665634
0.7,1.2666667,0.816,0.014016737,0.014999881,0.012710601,0.019551342,0.045938177,0.1301161,0.028905714,0.087974022,0.017386377
0.7,1.3,0.816,0.014011943,0.014999879,0.012746884,0.0196915,0.046274022,0.13175971,0.029575873,0.080564598,0.017789468
