# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x)
# range_a=[0.3, 0.6], steps_a=10
# range_b=[-0.06, -0.2], steps_b=10
length,delta_x,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.43333333,-0.06,0.49676308,0.018262027,0.039665128,0.0041513808,0.0081659043,0.24582882,2.3189891,0.094697124,0.79201269,0.016470624
0.43333333,-0.075555556,0.46254308,0.017904452,0.038925494,0.0044630735,0.0092374171,0.28618759,2.617647,0.11656055,0.8218072,0.016960243
0.43333333,-0.091111111,0.43894908,0.0179828,0.039700478,0.0047016037,0.0098773222,0.32308668,2.8920117,0.1480418,1.0400524,0.018898168
0.43333333,-0.10666667,0.42123708,0.017605199,0.038543738,0.0049606136,0.010475281,0.33501976,2.9103684,0.16914344,1.1090044,0.019479223
0.43333333,-0.12222222,0.40730508,0.017821888,0.039752471,0.0051469725,0.01090677,0.3560903,3.0693581,0.19747186,1.3326975,0.020907628
0.43333333,-0.13777778,0.39596508,0.017364047,0.038079003,0.0054043957,0.011492784,0.3828315,3.2300801,0.2140256,1.3118728,0.021115819
0.43333333,-0.15333333,0.38631708,0.017700857,0.039770221,0.0055566844,0.011794948,0.39129974,3.2717985,0.24060172,1.5498696,0.022318166
0.43333333,-0.16888889,0.37807808,0.017433245,0.038825669,0.0057758137,0.012262542,0.41091811,3.4026877,0.25493031,1.5429854,0.022406561
0.43333333,-0.18444444,0.37090908,0.017585594,0.039635142,0.0059425334,0.012662548,0.4265357,3.5103644,0.26792782,1.5419192,0.022448455
0.43333333,-0.2,0.36459608,0.017115658,0.037777483,0.0061357048,0.012957175,0.43927426,3.5617727,0.28908879,1.6651535,0.023203913
0.46666667,-0.06,0.52613308,0.018119492,0.038916712,0.0039939586,0.0077026886,0.22577744,2.1881334,0.076401174,0.65130841,0.015340483
0.46666667,-0.075555556,0.48924808,0.017944512,0.038857043,0.0042378196,0.0084777846,0.26027042,2.4318617,0.10203148,0.81978483,0.017082719
0.46666667,-0.091111111,0.46385108,0.017748031,0.038528666,0.0044494817,0.008985018,0.28374024,2.5926204,0.13102244,1.0484168,0.019199597
0.46666667,-0.10666667,0.44478108,0.017911384,0.039509609,0.0046514552,0.009773441,0.3189376,2.8774882,0.14451318,1.0334723,0.019066598
0.46666667,-0.12222222,0.42976908,0.017770426,0.039252358,0.0048427712,0.010180114,0.33012026,2.9044593,0.16596901,1.1724888,0.020096244
0.46666667,-0.13777778,0.41745708,0.017871448,0.039880342,0.0050168174,0.010726459,0.35052062,3.0546247,0.17862736,1.158484,0.020113032
0.46666667,-0.15333333,0.40708908,0.017787842,0.039823373,0.0051580738,0.010857412,0.37246118,3.2035585,0.21920652,1.5885478,0.02317806
0.46666667,-0.16888889,0.39830108,0.017605593,0.039201012,0.0053636142,0.011493152,0.38082585,3.2483061,0.21222676,1.3021273,0.021248527
0.46666667,-0.18444444,0.39049008,0.017283138,0.038071676,0.0055012329,0.011595067,0.37713849,3.1564765,0.24181274,1.631068,0.023041152
0.46666667,-0.2,0.38374908,0.01739948,0.038679432,0.0056633259,0.012084037,0.39620455,3.3002801,0.24349625,1.4749746,0.022213175
0.5,-0.06,0.55543908,0.01831479,0.039460607,0.0038396161,0.0071585205,0.2065895,2.0466885,0.06877876,0.63416153,0.015814134
0.5,-0.075555556,0.51590308,0.017982348,0.038797723,0.0040723744,0.0079478671,0.23769152,2.290186,0.087411398,0.74134738,0.016710458
0.5,-0.091111111,0.48859408,0.01792393,0.038991858,0.0042574777,0.0085657778,0.26394496,2.4776822,0.10517816,0.84291417,0.017550765
0.5,-0.10666667,0.46821108,0.017780891,0.038759844,0.0044262729,0.0090361778,0.28577835,2.6140733,0.12558595,0.98377041,0.018838454
0.5,-0.12222222,0.45212508,0.017730136,0.038818326,0.0045943703,0.0096174528,0.30748632,2.7680044,0.13824963,0.99427048,0.019002488
0.5,-0.13777778,0.43894908,0.017886431,0.039676795,0.004741374,0.010091503,0.32454893,2.8953276,0.15158079,1.0263458,0.019349935
0.5,-0.15333333,0.42793308,0.017881348,0.039880237,0.0048751517,0.010392631,0.3483227,3.090503,0.17234546,1.1961084,0.020646169
0.5,-0.16888889,0.41842908,0.017742882,0.039526306,0.0050030707,0.010584684,0.34599521,3.0122373,0.19076007,1.3571813,0.021604395
0.5,-0.18444444,0.41011308,0.01749992,0.038689677,0.0051440019,0.010856431,0.35513509,3.0560695,0.20676049,1.4571503,0.022270327
0.5,-0.2,0.40287708,0.017643294,0.039461118,0.0052596951,0.011124029,0.36704525,3.1505157,0.22552735,1.6009844,0.023234354
0.53333333,-0.06,0.58463208,0.018492477,0.039936511,0.003713736,0.0067896688,0.19367884,1.9499222,0.05602273,0.51888742,0.014641004
0.53333333,-0.075555556,0.54252308,0.018015216,0.038745813,0.0039339393,0.0074825771,0.21981667,2.1641032,0.075991722,0.67263696,0.016474484
0.53333333,-0.091111111,0.51348308,0.018079663,0.039397151,0.0040997543,0.00818361,0.24429076,2.361735,0.087227321,0.69805117,0.016480405
0.53333333,-0.10666667,0.49175508,0.018042703,0.039591475,0.0042371283,0.0085258142,0.26386749,2.4812589,0.10804807,0.88392329,0.018322686
0.53333333,-0.12222222,0.47453308,0.017690863,0.038438547,0.0043949058,0.0090610233,0.28372457,2.6300932,0.11828637,0.89086352,0.018348515
0.53333333,-0.13777778,0.46058108,0.017895594,0.039498693,0.0045127029,0.009417053,0.2983901,2.7246713,0.13311331,0.99322158,0.019164025
0.53333333,-0.15333333,0.44866908,0.017947171,0.039924543,0.00461371,0.0095978855,0.30828349,2.7827716,0.15200809,1.1696911,0.020496611
0.53333333,-0.16888889,0.43862508,0.017879112,0.039810942,0.0047435212,0.010050404,0.32357264,2.8968164,0.15945575,1.1433801,0.020317666
0.53333333,-0.18444444,0.42976908,0.017699141,0.03923043,0.0048676439,0.010373123,0.337866,2.9826785,0.16972126,1.1737179,0.020550583
0.53333333,-0.2,0.42199308,0.017425041,0.038239938,0.0049899247,0.010553817,0.34895811,3.0465541,0.1888131,1.3415429,0.021842153
0.56666667,-0.06,0.61402508,0.018356147,0.039304205,0.0036250785,0.0064971669,0.17902813,1.841757,0.04843841,0.45511121,0.014310511
0.56666667,-0.075555556,0.56920308,0.018363078,0.039891991,0.0037958526,0.007051204,0.20593562,2.0526088,0.066329517,0.61349481,0.016213431
0.56666667,-0.091111111,0.53834308,0.018216509,0.039754762,0.003949403,0.0075654028,0.22643556,2.2164203,0.081372441,0.72495322,0.01730315
0.56666667,-0.10666667,0.51524308,0.017917464,0.038925102,0.0040932742,0.0079281568,0.248874,2.399538,0.1018673,0.90752068,0.019411773
0.56666667,-0.12222222,0.49698708,0.018022249,0.03958668,0.0042111405,0.0084578033,0.26157007,2.4762213,0.10627367,0.87569188,0.018504971
0.56666667,-0.13777778,0.48205408,0.017901544,0.039341545,0.0043211128,0.0086985712,0.27241846,2.5564189,0.12366635,1.032191,0.019952207
0.56666667,-0.15333333,0.46951908,0.018015114,0.039937777,0.0044321098,0.0092479695,0.3066932,2.8296217,0.1302808,0.99653849,0.019679476
0.56666667,-0.16888889,0.45871308,0.017577009,0.038377383,0.0045432806,0.0093083198,0.29893137,2.7273039,0.14840676,1.1899868,0.021149811
0.56666667,-0.18444444,0.44942508,0.017871806,0.039707564,0.0046395565,0.0098435112,0.31656285,2.8649885,0.14607836,1.0408985,0.019780129
0.56666667,-0.2,0.44110908,0.017652651,0.038955517,0.0047469025,0.010073916,0.32506011,2.912514,0.1578111,1.1111784,0.020394006
