Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
4.610540,-0712081,-0574171,4.640702,-1159740,+0377212,16:34:47.141145
4.654495,-0712594,-0574258,4.684917,-1160021,+0377202,16:34:47.611881
4.698369,-0712382,-0574204,4.729130,-1159817,+0377156,16:34:47.611881
4.742265,-0712121,-0574261,4.773342,-1159811,+0377236,16:34:47.611881
4.786143,-0712612,-0574323,4.817555,-1159971,+0377187,16:34:47.611881
4.830024,-0712156,-0574296,4.861771,-1159802,+0377118,16:34:47.611881
4.873921,-0712313,-0574296,4.905987,-1159843,+0377242,16:34:47.611881
4.917828,-0712497,-0574294,4.950161,-1160059,+0377166,16:34:47.611881
4.961749,-0712111,-0574273,4.994376,-1159764,+0377159,16:34:47.611881
5.005626,-0712440,-0574210,5.038591,-1159937,+0377171,16:34:47.611881
5.049503,-0712053,-0574228,5.082790,-1160030,+0377109,16:34:47.995140
5.093387,-0712553,-0574332,5.127005,-1159778,+0377104,16:34:47.995140
5.137328,-0712463,-0574311,5.171220,-1159888,+0377237,16:34:47.995140
5.181230,-0712163,-0574315,5.215403,-1159874,+0377130,16:34:47.995140
5.225109,-0712628,-0574265,5.259617,-1159764,+0377069,16:34:47.995140
5.268987,-0712214,-0574293,5.303872,-1159872,+0377249,16:34:47.995140
5.312861,-0712389,-0574253,5.348083,-1159902,+0377062,16:34:47.995140
5.356755,-0712546,-0574271,5.392297,-1159742,+0377114,16:34:47.995647
5.400634,-0712329,-0574280,5.436512,-1160013,+0377201,16:34:47.995647
5.444534,-0712571,-0574263,5.480759,-1159939,+0377078,16:34:47.995647
5.488408,-0712404,-0574327,5.524963,-1159737,+0377173,16:34:48.419672
5.532279,-0712146,-0574227,5.569203,-1159961,+0377153,16:34:48.419672
5.576200,-0712645,-0574243,5.613373,-1159875,+0377037,16:34:48.419672
5.620126,-0712273,-0574250,5.657545,-1159789,+0377149,16:34:48.419672
5.664048,-0712323,-0574266,5.701716,-1160032,+0377223,16:34:48.419672
5.707998,-0712623,-0574313,5.745886,-1159818,+0377064,16:34:48.419672
5.751917,-0712168,-0574282,5.790057,-1159852,+0377208,16:34:48.419672
5.795829,-0712449,-0574243,5.834227,-1160084,+0377132,16:34:48.420674
5.839746,-0712711,-0574293,5.878398,-1159853,+0377167,16:34:48.420674
5.883678,-0712045,-0574327,5.922569,-1160004,+0377222,16:34:48.420674
5.927636,-0712552,-0574290,5.966739,-1159965,+0377158,16:34:48.823330
5.971530,-0712429,-0574251,6.010910,-1159780,+0377073,16:34:48.825837
6.015447,-0712149,-0574213,6.055080,-1159932,+0377242,16:34:48.825837
6.059362,-0712719,-0574243,6.099252,-1159993,+0377050,16:34:48.825837
6.103280,-0712217,-0574011,6.143461,-1159802,+0377140,16:34:48.825837
6.147196,-0712284,-0574223,6.187632,-1159937,+0377299,16:34:48.825837
6.191145,-0712620,-0574273,6.231803,-1160000,+0377229,16:34:48.825837
6.235065,-0712171,-0574234,6.275983,-1159774,+0377187,16:34:48.825837
6.279028,-0712485,-0574125,6.320165,-1160030,+0377218,16:34:48.825837
6.322942,-0712495,-0574269,6.364376,-1159940,+0377081,16:34:49.295715
6.366852,-0712184,-0574158,6.408578,-1159737,+0377132,16:34:49.295715
6.410774,-0712569,-0574272,6.452789,-1160011,+0377223,16:34:49.295715
6.454760,-0712315,-0574274,6.497003,-1159875,+0377158,16:34:49.295715
6.498646,-0712113,-0574245,6.541174,-1159767,+0377181,16:34:49.295715
6.542564,-0712615,-0574262,6.585380,-1160015,+0377159,16:34:49.295715
6.586464,-0712149,-0574198,6.629593,-1159965,+0377145,16:34:49.295715
6.630405,-0712237,-0574252,6.673768,-1159807,+0377210,16:34:49.295715
6.674323,-0712583,-0574313,6.717945,-1160022,+0377216,16:34:49.295715
6.718237,-0712158,-0574267,6.762117,-1159925,+0377122,16:34:49.295715
6.762150,-0712432,-0574100,6.806322,-1159858,+0377264,16:34:49.765976
6.806092,-0712416,-0574286,6.850492,-1160000,+0377133,16:34:49.765976
6.849987,-0712196,-0574308,6.894701,-1159778,+0377108,16:34:49.765976
6.893904,-0712548,-0574009,6.938915,-1159951,+0377222,16:34:49.765976
6.937807,-0712341,-0574284,6.983087,-1159994,+0377147,16:34:49.765976
6.981749,-0712158,-0574148,7.027289,-1159758,+0377119,16:34:49.765976
7.025670,-0712576,-0574240,7.071459,-1159869,+0377264,16:34:49.765976
7.069563,-0712268,-0574270,7.115675,-1159930,+0377184,16:34:49.765976
7.113475,-0712283,-0574230,7.159851,-1159699,+0377145,16:34:49.765976
7.157390,-0712617,-0574284,7.204021,-1159971,+0377346,16:34:49.765976
7.201332,-0712025,-0574261,7.248203,-1159904,+0377195,16:34:50.148906
7.245236,-0712440,-0574130,7.292415,-1159749,+0377286,16:34:50.148906
7.289159,-0712417,-0574246,7.336630,-1159978,+0377324,16:34:50.148906
7.333041,-0712056,-0574225,7.380804,-1159933,+0377157,16:34:50.148906
7.376942,-0712587,-0574267,7.425020,-1159755,+0377230,16:34:50.148906
7.420851,-0712475,-0574209,7.469311,-1160009,+0377243,16:34:50.148906
7.464774,-0712155,-0574269,7.513523,-1159834,+0377176,16:34:50.148906
7.508676,-0712580,-0574261,7.557712,-1159768,+0377259,16:34:50.148906
7.552592,-0712146,-0574304,7.601883,-1160033,+0377236,16:34:50.148906
7.596509,-0712228,-0574302,7.646084,-1159859,+0377170,16:34:50.552758
7.640458,-0712582,-0574301,7.690300,-1159805,+0377348,16:34:50.552758
7.684364,-0712241,-0574319,7.734511,-1159991,+0377323,16:34:50.552758
7.728249,-0712524,-0574269,7.778725,-1159827,+0377108,16:34:50.552758
7.772144,-0712358,-0574316,7.822899,-1159862,+0377287,16:34:50.552758
7.816028,-0712073,-0574100,7.867136,-1159946,+0377082,16:34:50.552758
7.859909,-0712566,-0574312,7.911350,-1159813,+0377154,16:34:50.552758
7.903789,-0712283,-0574267,7.955593,-1159835,+0377278,16:34:50.552758
7.947713,-0712216,-0574235,7.999807,-1160039,+0377176,16:34:50.552758
7.991607,-0712777,-0574327,8.044020,-1159769,+0377181,16:34:50.552758
8.035495,-0712201,-0574356,8.088237,-1159927,+0377327,16:34:50.987867
8.079395,-0712349,-0574189,8.132448,-1160018,+0377286,16:34:50.988863
8.123275,-0712522,-0574289,8.176673,-1159781,+0377113,16:34:50.988863
8.167167,-0712067,-0574263,8.220847,-1160013,+0377281,16:34:50.988863
8.211089,-0712542,-0574267,8.265057,-1160036,+0377196,16:34:50.988863
8.255015,-0712427,-0574307,8.309230,-1159776,+0377146,16:34:50.988863
8.298918,-0712216,-0574298,8.353478,-1160041,+0377257,16:34:50.988863
8.342796,-0712643,-0574362,8.397696,-1160014,+0377168,16:34:50.988863
8.386680,-0712275,-0574136,8.441908,-1159854,+0377171,16:34:50.988863
8.430561,-0712509,-0574307,8.486164,-1160027,+0377278,16:34:50.988863
8.474461,-0712636,-0574320,8.530397,-1159992,+0377096,16:34:51.429683
8.518353,-0712187,-0574231,8.574611,-1159864,+0377250,16:34:51.429683
8.562275,-0712459,-0574457,8.618826,-1160097,+0377330,16:34:51.429683
8.606156,-0712662,-0574203,8.663038,-1159896,+0377073,16:34:51.429683
8.650035,-0712107,-0574311,8.707216,-1159878,+0377274,16:34:51.429683
8.693985,-0712573,-0574277,8.751390,-1160101,+0377305,16:34:51.429683
8.737872,-0712340,-0574302,8.795607,-1159874,+0377120,16:34:51.429683
8.781752,-0712195,-0574293,8.839821,-1159900,+0377150,16:34:51.429683
8.825629,-0712646,-0574302,8.884026,-1160131,+0377205,16:34:51.429683
8.913397,-0712203,-0574323,8.928262,-1159864,+0377106,16:34:51.856344
8.957314,-0712468,-0574365,8.972432,-1159952,+0377207,16:34:51.856344
9.001233,-0712726,-0574302,9.016603,-1160052,+0377140,16:34:51.856344
9.045152,-0712077,-0574300,9.060776,-1159850,+0377170,16:34:51.856344
9.089072,-0712498,-0574283,9.104946,-1160001,+0377218,16:34:51.856344
9.132990,-0712523,-0574296,9.149118,-1160046,+0377125,16:34:51.856344
9.176904,-0712171,-0574250,9.193313,-1159827,+0377219,16:34:51.856344
9.220818,-0712607,-0574398,9.237483,-1160042,+0377225,16:34:51.856344
9.264765,-0712327,-0574272,9.281679,-1160022,+0377107,16:34:51.856344
9.308695,-0712193,-0574346,9.325862,-1159888,+0377128,16:34:51.856344
9.352614,-0712646,-0574271,9.370032,-1160022,+0377157,16:34:52.287315
9.396534,-0712219,-0574289,9.414204,-1160035,+0377139,16:34:52.287315
9.440458,-0712391,-0574324,9.458416,-1159927,+0377131,16:34:52.287315
9.484412,-0712536,-0574369,9.502587,-1160087,+0377171,16:34:52.287315
9.528326,-0712228,-0574260,9.546758,-1159985,+0377042,16:34:52.287315
9.572227,-0712528,-0574328,9.590969,-1159784,+0377156,16:34:52.287315
9.616111,-0712503,-0574318,9.635140,-1160100,+0377196,16:34:52.287315
9.659990,-0712148,-0574352,9.679352,-1159936,+0377148,16:34:52.287315
9.703907,-0712599,-0574323,9.723563,-1159928,+0377131,16:34:52.287315
9.747832,-0712337,-0574281,9.767733,-1160109,+0377107,16:34:52.287315
9.791749,-0712402,-0574378,9.811945,-1159886,+0377031,16:34:52.714548
9.835646,-0712602,-0574365,9.856177,-1159852,+0377123,16:34:52.714548
9.879582,-0712320,-0574325,9.900346,-1160140,+0377139,16:34:52.714548
9.923511,-0712260,-0574419,9.944568,-1159908,+0377032,16:34:52.715552
9.967426,-0712612,-0574363,9.988751,-1159903,+0377135,16:34:52.715552
10.011339,-0712036,-0574319,10.032963,-1160112,+0377062,16:34:52.715552
10.055221,-0712454,-0574420,10.077133,-1159935,+0377008,16:34:52.715552
10.099145,-0712431,-0574393,10.121303,-1160017,+0377123,16:34:52.715552
10.143082,-0712133,-0574345,10.165474,-1160060,+0377034,16:34:52.715552
10.186987,-0712710,-0574387,10.209685,-1159890,+0377069,16:34:53.068909
10.230888,-0712341,-0574293,10.253898,-1159996,+0377136,16:34:53.068909
10.274773,-0712268,-0574348,10.298123,-1160102,+0377013,16:34:53.068909
10.318656,-0712720,-0574357,10.342337,-1159882,+0377040,16:34:53.068909
10.362551,-0712143,-0574380,10.386551,-1160081,+0377014,16:34:53.068909
10.406445,-0712422,-0574388,10.430728,-1160027,+0377027,16:34:53.068909
10.450366,-0712620,-0574431,10.474899,-1159831,+0377094,16:34:53.068909
10.494327,-0712232,-0574422,10.519146,-1160134,+0377064,16:34:53.068909
10.538211,-0712579,-0574409,10.563361,-1160019,+0377031,16:34:53.068909
10.582095,-0712539,-0574353,10.607575,-1159918,+0377102,16:34:53.068909
10.625977,-0712150,-0574375,10.651792,-1160072,+0377144,16:34:53.538660
10.669857,-0712689,-0574440,10.696005,-1159947,+0376967,16:34:53.538660
10.713752,-0712370,-0574373,10.740257,-1159909,+0377106,16:34:53.538660
10.757658,-0712391,-0574489,10.784477,-1160131,+0377150,16:34:53.538660
10.801565,-0712868,-0574474,10.828693,-1159885,+0377082,16:34:53.538660
10.845472,-0712298,-0574373,10.872946,-1159869,+0377177,16:34:53.538660
10.889389,-0712533,-0574327,10.917134,-1160159,+0377143,16:34:53.538660
10.933269,-0712657,-0574347,10.961389,-1159855,+0377111,16:34:53.538660
10.977169,-0712212,-0574402,11.005600,-1159903,+0377198,16:34:53.538660
11.021088,-0712766,-0574452,11.049778,-1160101,+0377071,16:34:53.940978
11.065021,-0712571,-0574369,11.093954,-1159823,+0377028,16:34:53.940978
11.108923,-0712445,-0574379,11.138171,-1159961,+0377164,16:34:53.940978
11.152841,-0712721,-0574448,11.182368,-1160084,+0377078,16:34:53.940978
11.196760,-0712373,-0574300,11.226559,-1159833,+0377047,16:34:53.940978
11.240723,-0712474,-0574389,11.270810,-1159973,+0377199,16:34:53.940978
11.284609,-0712787,-0574332,11.314981,-1159966,+0377041,16:34:53.940978
11.328544,-0712262,-0574362,11.359194,-1159757,+0377140,16:34:53.940978
11.372493,-0712570,-0574348,11.403367,-1159973,+0377165,16:34:53.940978
11.416434,-0712798,-0574270,11.447582,-1160024,+0376967,16:34:54.332684
11.460351,-0712238,-0574412,11.491837,-1159918,+0377030,16:34:54.332684
11.504270,-0712648,-0574375,11.536050,-1160044,+0377088,16:34:54.332684
11.548148,-0712541,-0574328,11.580266,-1159968,+0377056,16:34:54.332684
11.592039,-0712224,-0574372,11.624485,-1159878,+0377078,16:34:54.332684
11.635969,-0712849,-0574452,11.668668,-1160090,+0377068,16:34:54.332684
11.679845,-0712494,-0574285,11.712885,-1159935,+0377023,16:34:54.332684
11.723763,-0712795,-0574340,11.757099,-1159815,+0377100,16:34:54.333668
11.767651,-0712270,-0574390,11.801276,-1160045,+0377075,16:34:54.333668
11.811531,-0712625,-0574303,11.845520,-1159965,+0376940,16:34:54.761840
11.855410,-0712712,-0574324,11.889734,-1159889,+0377088,16:34:54.761840
11.899290,-0712228,-0574343,11.933949,-1160073,+0377072,16:34:54.761840
11.943196,-0712813,-0574396,11.978164,-1159867,+0376884,16:34:54.762842
11.987115,-0712609,-0574401,12.022428,-1159865,+0377041,16:34:54.762842
12.031003,-0712386,-0574290,12.066667,-1160106,+0377093,16:34:54.762842
12.074881,-0712849,-0574433,12.110878,-1159861,+0376921,16:34:54.762842
12.118766,-0712318,-0574283,12.155091,-1159969,+0377048,16:34:54.762842
12.162639,-0712475,-0574433,12.199277,-1160094,+0377006,16:34:54.762842
12.206541,-0712785,-0574431,12.243489,-1159772,+0376977,16:34:54.762842
12.250485,-0712218,-0574360,12.287662,-1160018,+0377072,16:34:55.182222
12.294428,-0712788,-0574311,12.331833,-1160064,+0377032,16:34:55.182222
12.338349,-0712579,-0574323,12.376004,-1159779,+0376954,16:34:55.182222
12.382309,-0712246,-0574348,12.420173,-1159993,+0377048,16:34:55.182222
12.426244,-0712740,-0574220,12.464346,-1160023,+0377100,16:34:55.182222
12.470191,-0712380,-0574444,12.508518,-1159732,+0377046,16:34:55.182222
12.514087,-0712246,-0574305,12.552687,-1160056,+0377074,16:34:55.182222
