===BEGIN_METADATA===
Test Name: 2026-06-10_190300_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 002 004 011
ICB-Sensor A's Latest Calibration: 2026-02-28_191825,kA1: 285806.85492483515,dA1: 0.0038186954053924,cA1: 1779.0295562932731,kA2: 278780.10405734595,dA2: 0.0456960408628126,cA2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-26_195246,kC1: 327901.7793019196,dC1: 0.0055431319529345,cC1: 1092.3920580442064,kC2: 331651.3310431668,dC2: 0.0445085069339955,cC2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2027-02-28_181436,kE1: 349273.60227475094,dE1: 0.0045245532907721,cE1: 1102.3374494942836,kE2: 346675.0994387471,dE2: 0.0451524381538289,cE2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.162737,+1470078,+0826362,0.163306,+0809883,+0537349,0.163365,+0686539,+0584541,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.165970,+1470001,+0826263,0.166545,+0809918,+0537638,0.166603,+0686647,+0584605,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.169200,+1470190,+0826243,0.169784,+0809871,+0537425,0.169850,+0686640,+0584454,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.172431,+1470210,+0826411,0.173030,+0810042,+0537398,0.173088,+0686725,+0584419,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.175662,+1470017,+0826469,0.176269,+0809864,+0537475,0.176327,+0686747,+0584527,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.178894,+1470026,+0826382,0.179510,+0809897,+0537303,0.179568,+0686702,+0584705,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.182131,+1470026,+0826509,0.182749,+0809876,+0537485,0.182808,+0686495,+0584461,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.185363,+1470134,+0826419,0.185989,+0809797,+0537317,0.186048,+0686507,+0584514,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.188594,+1470286,+0826341,0.189230,+0809850,+0537356,0.189288,+0686468,+0584394,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.191830,+1470162,+0826492,0.192469,+0809711,+0537573,0.192530,+0686678,+0584479,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.195063,+1469976,+0826399,0.195711,+0809864,+0537464,0.195770,+0686531,+0584568,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.198295,+1470057,+0826398,0.198950,+0809765,+0537390,0.199009,+0686692,+0584398,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.201536,+1469974,+0826183,0.202189,+0809751,+0537411,0.202247,+0686437,+0584428,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.204784,+1470023,+0826255,0.205496,+0809762,+0537489,0.205557,+0686488,+0584518,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.208031,+1470141,+0826325,0.208738,+0810149,+0537459,0.208796,+0686650,+0584439,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.211269,+1470086,+0826494,0.211991,+0809855,+0537460,0.212049,+0686529,+0584660,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.214506,+1470017,+0826462,0.215230,+0809787,+0537467,0.215290,+0686646,+0584522,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.217736,+1470016,+0826459,0.218470,+0809886,+0537493,0.218530,+0686574,+0584510,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.220967,+1469964,+0826457,0.221715,+0809902,+0537431,0.221773,+0686646,+0584522,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.224197,+1470110,+0826495,0.224953,+0810018,+0537568,0.225013,+0686568,+0584399,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.227428,+1470137,+0826355,0.228193,+0810036,+0537484,0.228253,+0686575,+0584380,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.230660,+1470034,+0826308,0.231437,+0809856,+0537418,0.231496,+0686686,+0584301,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.233899,+1470047,+0826344,0.234678,+0810030,+0537614,0.234736,+0686695,+0584419,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.237130,+1470133,+0826442,0.237917,+0810087,+0537439,0.237975,+0686609,+0584528,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.240364,+1470064,+0826295,0.241156,+0809923,+0537431,0.241215,+0686590,+0584330,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.947385
0.243599,+1470398,+0826402,0.244398,+0809859,+0537433,0.244456,+0686781,+0584576,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.246831,+1470285,+0826282,0.247639,+0809710,+0537460,0.247697,+0686418,+0584401,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.250068,+1470045,+0826287,0.250886,+0809828,+0537349,0.251018,+0686716,+0584600,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.253342,+1470045,+0826620,0.254202,+0809719,+0537413,0.254262,+0686642,+0584518,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.256573,+1470056,+0826458,0.257443,+0809897,+0537576,0.257503,+0686736,+0584540,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.259803,+1470264,+0826336,0.260682,+0810065,+0537438,0.260744,+0686713,+0584554,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.263050,+1470060,+0826426,0.263929,+0809808,+0537443,0.263988,+0686630,+0584529,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.266280,+1470183,+0826345,0.267169,+0809728,+0537487,0.267227,+0686637,+0584369,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.269513,+1470093,+0826253,0.270408,+0809876,+0537533,0.270468,+0686686,+0584423,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.272751,+1470137,+0826376,0.273649,+0809988,+0537372,0.273708,+0686542,+0584490,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.275982,+1470002,+0826439,0.276889,+0809891,+0537559,0.276947,+0686579,+0584472,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.279212,+1470166,+0826150,0.280130,+0809814,+0537386,0.280196,+0686457,+0584561,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.282445,+1469952,+0826264,0.283379,+0809729,+0537478,0.283437,+0686514,+0584422,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.285676,+1470195,+0826394,0.286619,+0809936,+0537504,0.286679,+0686668,+0584443,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.288910,+1470096,+0826461,0.289862,+0809807,+0537413,0.289925,+0686526,+0584431,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.292141,+1470096,+0826444,0.293107,+0809960,+0537498,0.293165,+0686623,+0584392,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.980312
0.295373,+1470012,+0826197,0.296346,+0809928,+0537275,0.296404,+0686627,+0584484,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.301838,+1470046,+0826242,0.299584,+0809847,+0537548,0.299644,+0686663,+0584366,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.305101,+1470033,+0826293,0.302899,+0809821,+0537326,0.302965,+0686595,+0584279,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.308331,+1470145,+0826309,0.306144,+0810012,+0537429,0.306207,+0686449,+0584444,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.311572,+1470239,+0826217,0.309388,+0809831,+0537460,0.309447,+0686573,+0584435,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.314802,+1470220,+0826206,0.312633,+0809955,+0537259,0.312692,+0686782,+0584420,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.318033,+1469965,+0826272,0.315872,+0809751,+0537530,0.315930,+0686647,+0584431,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.321264,+1470137,+0826256,0.319113,+0809899,+0537482,0.319171,+0686672,+0584407,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.324498,+1470098,+0826366,0.322353,+0809906,+0537440,0.322412,+0686565,+0584446,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.327729,+1470117,+0826406,0.325592,+0809837,+0537350,0.325651,+0686514,+0584426,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.330961,+1470162,+0826460,0.328833,+0809756,+0537366,0.328891,+0686516,+0584465,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.334191,+1470129,+0826304,0.332080,+0809884,+0537559,0.332140,+0686656,+0584461,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.337422,+1470012,+0826423,0.335321,+0809852,+0537482,0.335381,+0686674,+0584558,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.340660,+1470204,+0826302,0.338561,+0810018,+0537407,0.338619,+0686593,+0584322,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.343895,+1470158,+0826127,0.341804,+0810004,+0537534,0.341862,+0686682,+0584604,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.347126,+1470077,+0826296,0.345043,+0809732,+0537324,0.345103,+0686585,+0584521,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.350359,+1469918,+0826473,0.348283,+0809827,+0537319,0.348341,+0686540,+0584429,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.353597,+1469927,+0826209,0.351528,+0809777,+0537363,0.351587,+0686796,+0584579,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.356827,+1470131,+0826415,0.354785,+0809824,+0537446,0.354845,+0686663,+0584549,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.360061,+1470181,+0826518,0.358026,+0810066,+0537331,0.358089,+0686710,+0584472,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.363300,+1470156,+0826212,0.361275,+0809831,+0537526,0.361333,+0686580,+0584517,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.366531,+1469922,+0826296,0.364515,+0809925,+0537393,0.364574,+0686646,+0584396,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.369761,+1470205,+0826395,0.367754,+0809855,+0537347,0.367814,+0686583,+0584498,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.372994,+1470094,+0826249,0.370994,+0809909,+0537352,0.371057,+0686558,+0584607,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.376228,+1470182,+0826383,0.374237,+0809960,+0537406,0.374296,+0686610,+0584337,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.379459,+1470028,+0826236,0.377476,+0809914,+0537314,0.377535,+0686413,+0584393,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.382692,+1470005,+0826376,0.380715,+0809752,+0537269,0.380776,+0686473,+0584433,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.385924,+1469976,+0826374,0.383958,+0809978,+0537227,0.384018,+0686416,+0584427,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.389155,+1470106,+0826355,0.387198,+0809995,+0537603,0.387258,+0686641,+0584510,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.392387,+1470162,+0826338,0.390439,+0810035,+0537482,0.390505,+0686612,+0584493,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.395620,+1470148,+0826351,0.393684,+0809816,+0537449,0.393743,+0686661,+0584582,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.398850,+1470222,+0826285,0.396923,+0809764,+0537438,0.396983,+0686725,+0584275,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.402085,+1470251,+0826152,0.400163,+0809785,+0537521,0.400232,+0686576,+0584430,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.080668
0.405315,+1470112,+0826255,0.403412,+0809828,+0537361,0.403470,+0686716,+0584472,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.408546,+1470091,+0826462,0.406651,+0809960,+0537397,0.406709,+0686512,+0584425,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.411778,+1470095,+0826381,0.409891,+0809738,+0537448,0.409953,+0686471,+0584489,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.415019,+1470103,+0826371,0.413216,+0809728,+0537364,0.413329,+0686468,+0584566,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.418252,+1470026,+0826388,0.416517,+0809796,+0537287,0.416575,+0686439,+0584270,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.421509,+1469999,+0826440,0.419757,+0809868,+0537258,0.419825,+0686645,+0584346,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.424749,+1470086,+0826237,0.423012,+0809952,+0537515,0.423071,+0686350,+0584493,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.427988,+1470191,+0826388,0.426251,+0809929,+0537421,0.426309,+0686496,+0584483,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.431232,+1470021,+0826333,0.429490,+0809967,+0537373,0.429550,+0686633,+0584227,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.434470,+1470067,+0826362,0.432733,+0809786,+0537549,0.432792,+0686554,+0584487,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.437709,+1470186,+0826266,0.435973,+0809844,+0537355,0.436031,+0686595,+0584378,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.440952,+1470261,+0826407,0.439212,+0809998,+0537450,0.439270,+0686593,+0584472,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.444190,+1470176,+0826310,0.442455,+0809788,+0537349,0.442513,+0686734,+0584547,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.447429,+1470118,+0826126,0.445693,+0809708,+0537380,0.445753,+0686718,+0584390,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
0.450676,+1470065,+0826362,0.448932,+0809859,+0537248,0.448990,+0686592,+0584299,,,,,,,,,,,,,,,,,,,,,,,,,19:03:06.214097
