Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
1.639353,-0715916,-0583485,1.642422,-1164008,+0371037,21:48:53.304355
1.649403,-0715955,-0583350,1.662587,-1163014,+0370977,21:48:53.304355
1.669570,-0716720,-0583477,1.672638,-1163550,+0371306,21:48:53.305352
1.679620,-0716887,-0583398,1.682690,-1163175,+0370914,21:48:53.305352
1.689695,-0716038,-0583565,1.692765,-1164179,+0371069,21:48:53.349489
1.699799,-0716034,-0583466,1.702872,-1163127,+0370931,21:48:53.349489
1.709882,-0716735,-0583471,1.712953,-1163745,+0371290,21:48:53.349489
1.729985,-0715344,-0583511,1.733056,-1163745,+0370849,21:48:53.349489
1.740036,-0715966,-0583444,1.743111,-1164067,+0371108,21:48:53.403883
1.750168,-0715789,-0583355,1.753240,-1163280,+0370858,21:48:53.403883
1.760265,-0716812,-0583432,1.763339,-1163655,+0371163,21:48:53.403883
1.770333,-0715378,-0583504,1.773404,-1163853,+0370947,21:48:53.404886
1.790465,-0716052,-0583540,1.793539,-1164114,+0371158,21:48:53.456219
1.800561,-0715632,-0583430,1.803632,-1163186,+0371108,21:48:53.456219
1.810642,-0716807,-0583385,1.813712,-1163643,+0371269,21:48:53.456219
1.820692,-0715357,-0583446,1.823763,-1163921,+0370859,21:48:53.457233
1.830746,-0716587,-0583504,1.833815,-1163037,+0371095,21:48:53.457233
1.840797,-0716193,-0583504,1.853922,-1163371,+0371150,21:48:53.508891
1.860967,-0716885,-0583488,1.864038,-1163497,+0370833,21:48:53.509891
1.871037,-0715434,-0583437,1.874108,-1163913,+0370873,21:48:53.509891
1.881090,-0716463,-0583446,1.884161,-1162961,+0371082,21:48:53.566221
1.891162,-0716233,-0583414,1.904329,-1163996,+0371109,21:48:53.566221
1.911338,-0715502,-0583393,1.914408,-1163380,+0370770,21:48:53.566221
1.921392,-0715631,-0583479,1.924463,-1163922,+0371344,21:48:53.566221
1.931446,-0716404,-0583575,1.934517,-1162999,+0371031,21:48:53.566221
1.941498,-0716505,-0583404,1.944570,-1164011,+0371204,21:48:53.566221
1.951553,-0715617,-0583443,1.954622,-1163367,+0370858,21:48:53.610244
1.971774,-0716916,-0583448,1.974849,-1163967,+0371153,21:48:53.610244
1.981836,-0716378,-0583480,1.984912,-1163002,+0370910,21:48:53.611263
1.991903,-0716652,-0583576,1.994974,-1163937,+0371002,21:48:53.658213
2.001963,-0715446,-0583359,2.005035,-1163410,+0370664,21:48:53.658213
2.012109,-0716917,-0583483,2.015179,-1163169,+0371330,21:48:53.659209
2.032236,-0715805,-0583272,2.035308,-1164084,+0371052,21:48:53.659209
2.042298,-0716580,-0583443,2.045367,-1163831,+0371293,21:48:53.714653
2.052349,-0715427,-0583420,2.055423,-1163585,+0370750,21:48:53.714653
2.072593,-0716897,-0583266,2.075663,-1163211,+0371219,21:48:53.714653
2.082653,-0716158,-0583269,2.085721,-1162945,+0371025,21:48:53.715653
2.092705,-0716744,-0583315,2.095774,-1163829,+0371262,21:48:53.765920
2.102819,-0715402,-0583455,2.105891,-1163515,+0370894,21:48:53.766912
2.112891,-0716838,-0583328,2.115964,-1163203,+0371144,21:48:53.767911
2.133010,-0715909,-0583243,2.136082,-1164025,+0370997,21:48:53.767911
2.143064,-0716820,-0583410,2.146133,-1163730,+0370886,21:48:53.768912
2.153116,-0715400,-0583380,2.156185,-1163694,+0370891,21:48:53.813234
2.163211,-0716721,-0583449,2.166284,-1163027,+0371167,21:48:53.814230
2.173295,-0716109,-0583385,2.176365,-1164045,+0371130,21:48:53.814230
2.183349,-0715976,-0583217,2.196475,-1163003,+0370905,21:48:53.814230
2.203476,-0715455,-0583416,2.206548,-1163758,+0371299,21:48:53.857887
2.213639,-0716545,-0583348,2.216709,-1163138,+0370820,21:48:53.858890
2.223705,-0716163,-0583220,2.226775,-1164075,+0371092,21:48:53.858890
2.233759,-0715824,-0583208,2.236831,-1163283,+0370920,21:48:53.858890
2.243812,-0716990,-0583328,2.256945,-1163880,+0371389,21:48:53.908271
2.263975,-0716544,-0583248,2.267045,-1163043,+0370851,21:48:53.908271
2.274059,-0716046,-0583275,2.277129,-1164056,+0371140,21:48:53.908271
2.284111,-0715793,-0583252,2.287182,-1163207,+0370840,21:48:53.909269
2.294163,-0716931,-0583285,2.297233,-1163545,+0371186,21:48:53.951745
2.314374,-0715453,-0583194,2.317445,-1163885,+0370856,21:48:53.953745
2.324424,-0716239,-0583380,2.327495,-1164089,+0371049,21:48:53.953745
2.334476,-0715623,-0583310,2.337546,-1163286,+0370916,21:48:53.998892
2.344528,-0716863,-0583389,2.347602,-1163499,+0371257,21:48:53.998892
2.354632,-0715530,-0583256,2.357701,-1163881,+0370979,21:48:53.998892
2.374772,-0716404,-0583362,2.377843,-1162981,+0371099,21:48:53.998892
2.384829,-0715576,-0583286,2.387901,-1163383,+0371210,21:48:54.046601
2.394884,-0716991,-0583400,2.397955,-1163406,+0371309,21:48:54.048602
2.404994,-0715518,-0583426,2.408063,-1163890,+0371009,21:48:54.050601
2.415085,-0716375,-0583303,2.428224,-1162892,+0371029,21:48:54.050601
2.435206,-0716487,-0583259,2.438275,-1163350,+0371296,21:48:54.091309
2.445301,-0716942,-0583403,2.448373,-1163311,+0370838,21:48:54.091309
2.455357,-0715694,-0583326,2.458429,-1164125,+0370946,21:48:54.093310
2.465411,-0716146,-0583288,2.468481,-1163013,+0371021,21:48:54.093310
2.475494,-0716562,-0583274,2.488621,-1163845,+0371169,21:48:54.136609
2.495643,-0717030,-0583380,2.498712,-1163335,+0370822,21:48:54.137621
2.505708,-0715875,-0583339,2.508778,-1164103,+0371129,21:48:54.137621
2.515780,-0716149,-0583371,2.518852,-1163158,+0370996,21:48:54.137621
2.525834,-0716633,-0583363,2.528902,-1163968,+0371279,21:48:54.184130
2.545993,-0715435,-0583381,2.549062,-1163546,+0370787,21:48:54.184130
2.556043,-0715935,-0583224,2.559113,-1164184,+0371148,21:48:54.184130
2.566115,-0716211,-0583256,2.569186,-1163174,+0370996,21:48:54.233396
2.576241,-0716674,-0583291,2.579316,-1163793,+0371236,21:48:54.233396
2.596489,-0715531,-0583191,2.599560,-1163655,+0370888,21:48:54.234397
2.606545,-0715902,-0583402,2.609615,-1164073,+0371101,21:48:54.234397
2.616612,-0715936,-0583357,2.619682,-1163150,+0370872,21:48:54.281447
2.626662,-0716827,-0583318,2.629738,-1163783,+0371391,21:48:54.281447
2.636829,-0715387,-0583193,2.649951,-1163825,+0370863,21:48:54.281447
2.656932,-0716775,-0583267,2.660002,-1164180,+0371179,21:48:54.281447
2.666983,-0715887,-0583326,2.670053,-1163408,+0371113,21:48:54.332077
2.677077,-0716858,-0583215,2.680150,-1163918,+0371297,21:48:54.332077
2.687155,-0715345,-0583189,2.690225,-1163773,+0370870,21:48:54.332077
2.697207,-0716542,-0583185,2.710333,-1162967,+0371194,21:48:54.332077
2.717339,-0715604,-0583273,2.720411,-1163162,+0371153,21:48:54.387896
2.727448,-0716964,-0583224,2.730519,-1163744,+0370827,21:48:54.387896
2.737530,-0715472,-0583267,2.740601,-1163956,+0370863,21:48:54.387896
2.747583,-0716414,-0583212,2.750653,-1163150,+0371183,21:48:54.387896
2.757635,-0716181,-0583212,2.760706,-1164208,+0371175,21:48:54.388894
2.777749,-0715674,-0583146,2.780821,-1163709,+0370775,21:48:54.432605
2.787877,-0715525,-0583318,2.790948,-1163919,+0371295,21:48:54.432605
2.797929,-0716411,-0583176,2.800998,-1163054,+0371069,21:48:54.432605
2.807977,-0716216,-0583118,2.811048,-1164169,+0371166,21:48:54.432605
2.818045,-0715541,-0583206,2.831170,-1163390,+0370831,21:48:54.479885
2.838200,-0715580,-0583208,2.841271,-1163957,+0371236,21:48:54.479885
2.848252,-0716435,-0583191,2.851322,-1162968,+0370922,21:48:54.479885
2.858305,-0716260,-0583141,2.861374,-1163995,+0371074,21:48:54.480481
2.868357,-0715576,-0583157,2.871428,-1163331,+0370844,21:48:54.531561
2.878452,-0717033,-0583319,2.891611,-1163378,+0371277,21:48:54.531561
2.898595,-0715608,-0583186,2.901666,-1162932,+0370948,21:48:54.531561
2.908647,-0716351,-0583049,2.911718,-1163974,+0370917,21:48:54.588468
2.918726,-0715496,-0583136,2.921799,-1163437,+0370788,21:48:54.588468
2.928824,-0717001,-0583248,2.931896,-1163359,+0371246,21:48:54.588468
2.938908,-0715725,-0583073,2.941979,-1164118,+0370999,21:48:54.588468
2.959018,-0716191,-0583277,2.962090,-1163886,+0370968,21:48:54.588468
2.969070,-0715509,-0583249,2.972139,-1163385,+0371232,21:48:54.588468
2.979121,-0716858,-0583205,2.982192,-1163191,+0371206,21:48:54.634174
2.989295,-0715791,-0583182,2.992365,-1163998,+0370975,21:48:54.634174
2.999346,-0716176,-0583190,3.002415,-1163042,+0371002,21:48:54.635179
3.019458,-0716590,-0583227,3.022532,-1163821,+0371137,21:48:54.635179
3.029540,-0716794,-0583303,3.032614,-1163149,+0370817,21:48:54.681149
3.039641,-0715898,-0583210,3.042711,-1164042,+0370972,21:48:54.681149
3.049693,-0716159,-0583136,3.052763,-1163008,+0370924,21:48:54.681149
3.059743,-0716756,-0583071,3.072914,-1163794,+0371263,21:48:54.728163
3.079939,-0716812,-0583078,3.083009,-1163227,+0370780,21:48:54.729158
3.090039,-0716035,-0583198,3.093110,-1164192,+0371080,21:48:54.729158
3.100109,-0715985,-0583168,3.103179,-1163091,+0370900,21:48:54.729158
3.110159,-0716789,-0583321,3.113231,-1163714,+0371356,21:48:54.778964
3.120213,-0715398,-0583209,3.133448,-1163744,+0370900,21:48:54.778964
3.140443,-0716164,-0583257,3.143514,-1164280,+0371115,21:48:54.778964
3.150494,-0715859,-0583224,3.153564,-1163180,+0371128,21:48:54.779972
3.160546,-0716835,-0583162,3.163616,-1163673,+0371399,21:48:54.842458
3.170598,-0715382,-0583278,3.173674,-1163758,+0370823,21:48:54.842458
3.190871,-0716590,-0583485,3.193941,-1163076,+0371019,21:48:54.842458
3.200920,-0715798,-0583220,3.203991,-1163307,+0371181,21:48:54.842458
3.210974,-0716863,-0583214,3.214044,-1163582,+0370781,21:48:54.842458
3.221024,-0715338,-0583111,3.224093,-1163884,+0370951,21:48:54.898683
3.231091,-0716445,-0583203,3.234164,-1163058,+0371072,21:48:54.898683
3.241217,-0716248,-0583172,3.254349,-1164136,+0371224,21:48:54.898683
3.261329,-0715631,-0583154,3.264400,-1163451,+0370718,21:48:54.898683
3.271392,-0715403,-0583179,3.274463,-1163924,+0371298,21:48:54.898683
3.281446,-0716530,-0583244,3.284515,-1163028,+0370959,21:48:54.946026
3.291529,-0716156,-0583292,3.294605,-1163983,+0371222,21:48:54.946026
3.301637,-0715490,-0583177,3.314760,-1163383,+0370895,21:48:54.946026
3.321745,-0716930,-0583219,3.324815,-1164006,+0371374,21:48:54.946026
3.331825,-0716419,-0583172,3.334894,-1163053,+0370883,21:48:54.991748
3.341967,-0716462,-0583326,3.345038,-1163905,+0371164,21:48:54.991748
3.352060,-0715386,-0583131,3.355128,-1163402,+0370877,21:48:54.991748
3.362109,-0716973,-0583149,3.365180,-1163394,+0371352,21:48:54.991748
3.382211,-0715659,-0583218,3.385280,-1162987,+0370992,21:48:55.040406
3.392303,-0716446,-0583197,3.395377,-1164025,+0371063,21:48:55.040406
3.402397,-0715433,-0583137,3.405467,-1163484,+0370795,21:48:55.040406
3.412450,-0716991,-0583288,3.415522,-1163246,+0371193,21:48:55.040406
3.422503,-0715853,-0583119,3.435650,-1164069,+0370970,21:48:55.086890
3.442743,-0716407,-0583240,3.445813,-1163869,+0370962,21:48:55.086890
3.452795,-0715426,-0583186,3.455866,-1163541,+0371257,21:48:55.087905
3.462847,-0716921,-0583160,3.465918,-1163212,+0371184,21:48:55.087905
3.472997,-0715931,-0583113,3.476068,-1164046,+0371064,21:48:55.138330
3.483061,-0716049,-0583191,3.496228,-1163067,+0370911,21:48:55.138330
3.503249,-0715392,-0583323,3.506318,-1163701,+0371216,21:48:55.138330
3.513301,-0716700,-0583018,3.516374,-1163238,+0370847,21:48:55.138330
3.523370,-0715948,-0583221,3.526442,-1164024,+0371047,21:48:55.195563
3.533472,-0715923,-0583199,3.536543,-1163087,+0370896,21:48:55.195563
3.543563,-0716816,-0583192,3.556685,-1163641,+0371298,21:48:55.195563
3.563667,-0715378,-0583134,3.566738,-1163074,+0370871,21:48:55.195563
3.573723,-0715994,-0583285,3.576796,-1164212,+0371186,21:48:55.195563
3.583776,-0715894,-0583256,3.586849,-1163165,+0370879,21:48:55.250869
3.593872,-0716663,-0583186,3.596945,-1163768,+0371315,21:48:55.250869
3.603966,-0715320,-0583213,3.607037,-1163785,+0370866,21:48:55.251866
3.624074,-0716732,-0583228,3.627143,-1163011,+0371042,21:48:55.252864
3.634123,-0715683,-0583169,3.637198,-1163213,+0371139,21:48:55.306505
3.644260,-0716784,-0583250,3.647332,-1163563,+0371268,21:48:55.306505
3.654342,-0715366,-0583305,3.657412,-1163969,+0370874,21:48:55.306505
3.664394,-0716402,-0583205,3.667466,-1163082,+0371033,21:48:55.306505
3.674444,-0716087,-0583133,3.687565,-1164090,+0371181,21:48:55.306505
3.694547,-0715653,-0583235,3.697618,-1163748,+0370884,21:48:55.350648
3.704644,-0715479,-0583238,3.707715,-1163937,+0371026,21:48:55.351648
3.714705,-0716402,-0583345,3.717773,-1163042,+0371060,21:48:55.352649
3.724759,-0716275,-0583309,3.727830,-1164052,+0371069,21:48:55.352649
