===BEGIN_METADATA===
Test Name: 2026-06-16_195024_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 70,Positions (mm): 60 100 120 154
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.332251,-370,-75,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.335489,-354,-99,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.338724,-337,-100,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.341954,-162,14,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.34524,-443,-181,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.348513,-189,-74,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.351747,-263,60,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.355001,-285,-203,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.358233,-271,-9,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.361467,-205,-170,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.364711,-293,-78,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.367942,-234,-184,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.371173,-431,4,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.374415,-289,-131,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.377645,-270,-85,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.380877,-316,-128,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.384122,-306,18,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.387353,-181,-303,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.390584,-163,37,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.39383,-222,-249,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.397065,64,93,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.400325,-297,-123,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.403576,-136,-250,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.406816,-206,-137,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.410046,-433,9,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.413291,-427,-289,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.416523,-140,-26,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.419758,-194,-355,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
