===BEGIN_METADATA===
Test Name: 2026-06-16_200427_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration Verify
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.338585,+0679200,+0908941,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.341821,+0679294,+0908775,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.345065,+0679399,+0908801,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.348297,+0679445,+0908732,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.351530,+0679514,+0908803,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.354768,+0679449,+0908687,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.358002,+0679451,+0909019,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.361234,+0679387,+0908725,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.364476,+0679385,+0908759,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.367707,+0679332,+0908721,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.370938,+0679373,+0908936,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.374180,+0679228,+0908915,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.377410,+0679472,+0908767,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.380641,+0679354,+0908893,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.383876,+0679388,+0908943,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.387114,+0679387,+0908633,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.390345,+0679346,+0908692,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.393584,+0679541,+0908760,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.396818,+0679139,+0908773,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.400049,+0679382,+0908959,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.403287,+0679264,+0908750,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.406520,+0679462,+0908711,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.409750,+0679358,+0908650,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.412989,+0679365,+0908940,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.416224,+0679493,+0908913,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.419456,+0679528,+0908708,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.422693,+0679238,+0908743,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.425925,+0679485,+0908739,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.429156,+0679207,+0908705,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.432387,+0679360,+0908758,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.435627,+0679239,+0908770,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.438860,+0679494,+0908842,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
