===BEGIN_METADATA===
Test Name: 2026-06-10_190041_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 002 004 011
ICB-Sensor A's Latest Calibration: 2026-02-28_191825,kA1: 285806.85492483515,dA1: 0.0038186954053924,cA1: 1779.0295562932731,kA2: 278780.10405734595,dA2: 0.0456960408628126,cA2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-26_195246,kC1: 327901.7793019196,dC1: 0.0055431319529345,cC1: 1092.3920580442064,kC2: 331651.3310431668,dC2: 0.0445085069339955,cC2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2027-02-28_181436,kE1: 349273.60227475094,dE1: 0.0045245532907721,cE1: 1102.3374494942836,kE2: 346675.0994387471,dE2: 0.0451524381538289,cE2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.130300,+1473968,+0832088,0.130796,+0813986,+0543574,0.130930,+0692106,+0590595,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.133533,+1474096,+0831999,0.134034,+0814234,+0543546,0.134165,+0692067,+0590591,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.136766,+1474352,+0832058,0.137273,+0813911,+0543596,0.137400,+0692181,+0590698,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.139996,+1474112,+0832027,0.140512,+0813876,+0543444,0.140635,+0692050,+0590738,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.143237,+1474113,+0832129,0.143756,+0813992,+0543456,0.143870,+0691997,+0590566,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.146493,+1474210,+0832145,0.146998,+0814206,+0543595,0.147105,+0691960,+0590652,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.149734,+1474106,+0832041,0.150264,+0814077,+0543525,0.150340,+0692043,+0590587,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.152970,+1474180,+0832106,0.153510,+0814142,+0543300,0.153577,+0692199,+0590560,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.156203,+1474241,+0831945,0.156751,+0813860,+0543323,0.156814,+0692084,+0590829,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.159437,+1474092,+0832025,0.159990,+0814155,+0543417,0.160053,+0692128,+0590552,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.162670,+1474236,+0831973,0.163232,+0814058,+0543582,0.163291,+0691983,+0590446,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.165900,+1473869,+0832030,0.166471,+0814253,+0543514,0.166530,+0691968,+0590616,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.169131,+1474249,+0832136,0.169713,+0814221,+0543520,0.169772,+0692041,+0590782,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.172371,+1474158,+0832131,0.172953,+0814017,+0543562,0.173012,+0691986,+0590588,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.175602,+1473916,+0831976,0.176191,+0813897,+0543506,0.176250,+0691936,+0590677,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
0.178834,+1474060,+0832214,0.179432,+0814051,+0543373,0.179492,+0692145,+0590487,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.706244
