Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.153921,+0019037,+0622602,0.154035,-8388608,-8388608,0.154131,+0301427,-0141529,0.152861,-0398689,+0614748,0.151774,+0852811,+0377970,20:51:46.568196
0.157220,+0018774,+0622500,0.157279,-8388608,-8388608,0.157409,+0301573,-0141361,0.155714,-0398758,+0614835,0.157351,+0852758,+0378214,20:51:46.568196
0.160471,+0018971,+0622804,0.160531,-8388608,-8388608,0.160654,+0301045,-0141562,0.158531,-0398793,+0615041,0.160139,+0852549,+0378123,20:51:46.568196
0.163724,+0018887,+0622621,0.163784,-8388608,-8388608,0.163893,+0301581,-0141615,0.161415,-0398914,+0614890,0.162925,+0852683,+0378103,20:51:46.568196
0.166970,+0018928,+0622692,0.167028,-8388608,-8388608,0.167205,+0301379,-0141530,0.167086,-0399144,+0615098,0.165716,+0852526,+0378147,20:51:46.568196
0.170228,+0018962,+0622589,0.170288,-8388608,-8388608,0.170441,+0301347,-0141538,0.169891,-0398973,+0615122,0.168547,+0852518,+0377834,20:51:46.568196
0.173475,+0019016,+0622580,0.173538,-8388608,-8388608,0.173679,+0301274,-0141581,0.172698,-0398922,+0615017,0.171352,+0852767,+0378254,20:51:46.568196
0.176723,+0018838,+0622542,0.176783,-8388608,-8388608,0.177029,+0301453,-0141389,0.175510,-0398942,+0615120,0.176970,+0852611,+0378027,20:51:46.568196
0.180054,+0018930,+0622722,0.180113,-8388608,-8388608,0.180264,+0301434,-0141448,0.178315,-0398980,+0614955,0.179776,+0852694,+0378197,20:51:46.568196
0.183299,+0018976,+0622597,0.183360,-8388608,-8388608,0.183502,+0301492,-0141504,0.181120,-0398884,+0614920,0.182588,+0852783,+0377962,20:51:46.568196
0.186547,+0018860,+0622722,0.186605,-8388608,-8388608,0.186738,+0301387,-0141579,0.186855,-0399006,+0614956,0.185396,+0852716,+0378287,20:51:46.568196
0.189806,+0018836,+0622720,0.189906,-8388608,-8388608,0.190023,+0301442,-0141496,0.189748,-0398857,+0615038,0.188228,+0852780,+0377961,20:51:46.568196
0.193050,+0018783,+0622632,0.193143,-8388608,-8388608,0.193259,+0301630,-0141439,0.192553,-0398969,+0615253,0.191014,+0852558,+0378087,20:51:46.568196
0.196298,+0018741,+0622732,0.196380,-8388608,-8388608,0.196496,+0301564,-0141667,0.195358,-0398865,+0614848,0.193810,+0852567,+0378186,20:51:46.568196
0.199543,+0018915,+0622458,0.199668,-8388608,-8388608,0.199735,+0301448,-0141609,0.198175,-0398972,+0615016,0.199384,+0852578,+0378104,20:51:46.568196
0.202788,+0018928,+0622424,0.202906,-8388608,-8388608,0.202971,+0301433,-0141454,0.201004,-0398990,+0614873,0.202170,+0852654,+0378030,20:51:46.568196
0.206032,+0018958,+0622794,0.206143,-8388608,-8388608,0.206214,+0301381,-0141581,0.203826,-0398838,+0614910,0.204961,+0852766,+0378189,20:51:46.568196
0.209276,+0018891,+0622613,0.209424,-8388608,-8388608,0.209543,+0301577,-0141488,0.209485,-0399018,+0614889,0.207747,+0852766,+0378089,20:51:46.568196
0.212573,+0019058,+0622578,0.212663,-8388608,-8388608,0.212778,+0301385,-0141587,0.212290,-0398837,+0614984,0.213333,+0852761,+0378121,20:51:46.568196
0.215840,+0018822,+0622690,0.215900,-8388608,-8388608,0.216012,+0301404,-0141549,0.215098,-0398837,+0614956,0.216122,+0852421,+0378114,20:51:46.568196
0.219088,+0018908,+0622685,0.219201,-8388608,-8388608,0.219259,+0301414,-0141442,0.217911,-0398921,+0614938,0.218917,+0852676,+0378333,20:51:46.568196
