===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 01,Time since Last Test: ~30min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A, kA1: 1.0, dA1: 1.0, cA1: 1.0, kA2: 1.0, dA2: 1.0, cA2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
1.772325,-0448236,-0552065,1.772325,-0448236,-0552065,11:57:36.942643
1.782319,-0447565,-0551214,1.782319,-0447565,-0551214,11:57:36.943643
1.792317,-0448409,-0551758,1.792317,-0448409,-0551758,11:57:36.943643
1.802341,-0447779,-0551538,1.802341,-0447779,-0551538,11:57:36.989099
1.812378,-0447985,-0551220,1.812378,-0447985,-0551220,11:57:36.989099
1.822378,-0448181,-0552038,1.822378,-0448181,-0552038,11:57:36.989099
1.832375,-0447648,-0551138,1.832375,-0447648,-0551138,11:57:36.989099
1.842371,-0448421,-0551766,1.842371,-0448421,-0551766,11:57:37.038040
1.852436,-0447745,-0551696,1.852436,-0447745,-0551696,11:57:37.039039
1.862468,-0448040,-0551207,1.862468,-0448040,-0551207,11:57:37.039039
1.872464,-0448179,-0552171,1.872464,-0448179,-0552171,11:57:37.039039
1.882460,-0447720,-0551299,1.882460,-0447720,-0551299,11:57:37.039039
1.892457,-0447726,-0551731,1.892457,-0447726,-0551731,11:57:37.083295
1.902497,-0447726,-0551631,1.902497,-0447726,-0551631,11:57:37.083295
1.912526,-0447981,-0551087,1.912526,-0447981,-0551087,11:57:37.083295
1.922525,-0448148,-0552091,1.922525,-0448148,-0552091,11:57:37.083295
1.932521,-0447674,-0551092,1.932521,-0447674,-0551092,11:57:37.083295
1.942520,-0448572,-0551638,1.942520,-0448572,-0551638,11:57:37.131006
1.952560,-0447827,-0551738,1.952560,-0447827,-0551738,11:57:37.131006
1.962559,-0448009,-0551094,1.962559,-0448009,-0551094,11:57:37.132007
1.972556,-0448206,-0552033,1.972556,-0448206,-0552033,11:57:37.132007
1.982550,-0447598,-0551126,1.982550,-0447598,-0551126,11:57:37.177166
1.992549,-0448485,-0551649,1.992549,-0448485,-0551649,11:57:37.177166
2.002607,-0447680,-0551698,2.002607,-0447680,-0551698,11:57:37.178165
2.012607,-0447936,-0551208,2.012607,-0447936,-0551208,11:57:37.180165
2.022602,-0448150,-0552035,2.022602,-0448150,-0552035,11:57:37.180165
2.032637,-0447572,-0551216,2.032637,-0447572,-0551216,11:57:37.225903
2.042690,-0448388,-0551661,2.042690,-0448388,-0551661,11:57:37.226903
2.052687,-0447746,-0551789,2.052687,-0447746,-0551789,11:57:37.226903
2.062793,-0448041,-0551162,2.062793,-0448041,-0551162,11:57:37.226903
2.072792,-0448206,-0552042,2.072792,-0448206,-0552042,11:57:37.226903
2.082788,-0447599,-0551314,2.082788,-0447599,-0551314,11:57:37.272202
2.092874,-0448493,-0551704,2.092874,-0448493,-0551704,11:57:37.273201
2.102899,-0447730,-0551705,2.102899,-0447730,-0551705,11:57:37.274202
2.112918,-0448002,-0551133,2.112918,-0448002,-0551133,11:57:37.274202
2.122914,-0448348,-0552018,2.122914,-0448348,-0552018,11:57:37.274202
2.132913,-0447639,-0551254,2.132913,-0447639,-0551254,11:57:37.317658
2.142943,-0448493,-0551581,2.142943,-0448493,-0551581,11:57:37.317658
2.152939,-0447857,-0551735,2.152939,-0447857,-0551735,11:57:37.318658
2.162936,-0447998,-0551087,2.162936,-0447998,-0551087,11:57:37.320658
2.172934,-0448311,-0552019,2.172934,-0448311,-0552019,11:57:37.363787
2.182986,-0447535,-0551198,2.182986,-0447535,-0551198,11:57:37.365789
2.192989,-0448511,-0551625,2.192989,-0448511,-0551625,11:57:37.366812
2.203017,-0447812,-0551785,2.203017,-0447812,-0551785,11:57:37.366812
2.213040,-0448059,-0551063,2.213040,-0448059,-0551063,11:57:37.366812
2.223037,-0448351,-0552054,2.223037,-0448351,-0552054,11:57:37.410258
2.233130,-0447581,-0551315,2.233130,-0447581,-0551315,11:57:37.411251
2.243126,-0448505,-0551531,2.243126,-0448505,-0551531,11:57:37.411251
2.253132,-0447883,-0551753,2.253132,-0447883,-0551753,11:57:37.411251
2.263130,-0447968,-0551100,2.263130,-0447968,-0551100,11:57:37.457918
2.273144,-0448259,-0551971,2.273144,-0448259,-0551971,11:57:37.457918
2.283176,-0447624,-0551309,2.283176,-0447624,-0551309,11:57:37.457918
2.293172,-0448512,-0551651,2.293172,-0448512,-0551651,11:57:37.458910
2.303166,-0447796,-0551778,2.303166,-0447796,-0551778,11:57:37.458910
2.313209,-0448011,-0551146,2.313209,-0448011,-0551146,11:57:37.502680
2.323243,-0448272,-0552048,2.323243,-0448272,-0552048,11:57:37.503685
2.333246,-0447617,-0551212,2.333246,-0447617,-0551212,11:57:37.503685
2.343243,-0448436,-0551534,2.343243,-0448436,-0551534,11:57:37.503685
2.353238,-0447934,-0551770,2.353238,-0447934,-0551770,11:57:37.503685
2.363234,-0448069,-0551000,2.363234,-0448069,-0551000,11:57:37.550906
2.373273,-0448318,-0552052,2.373273,-0448318,-0552052,11:57:37.550906
2.383270,-0447696,-0551249,2.383270,-0447696,-0551249,11:57:37.550906
2.393266,-0448361,-0551417,2.393266,-0448361,-0551417,11:57:37.550906
2.403264,-0447723,-0551741,2.403264,-0447723,-0551741,11:57:37.598633
2.413356,-0448002,-0550998,2.413356,-0448002,-0550998,11:57:37.598633
2.423383,-0448374,-0552029,2.423383,-0448374,-0552029,11:57:37.598633
2.433379,-0447651,-0551169,2.433379,-0447651,-0551169,11:57:37.598633
2.443375,-0448459,-0551632,2.443375,-0448459,-0551632,11:57:37.598633
2.453369,-0447867,-0551631,2.453369,-0447867,-0551631,11:57:37.648057
2.463400,-0447993,-0551134,2.463400,-0447993,-0551134,11:57:37.649040
2.473401,-0448370,-0551926,2.473401,-0448370,-0551926,11:57:37.649040
2.483399,-0447602,-0551298,2.483399,-0447602,-0551298,11:57:37.649040
2.493398,-0448480,-0551477,2.493398,-0448480,-0551477,11:57:37.649040
2.503397,-0447885,-0551808,2.503397,-0447885,-0551808,11:57:37.706251
2.513461,-0447919,-0551060,2.513461,-0447919,-0551060,11:57:37.706251
2.523474,-0448329,-0552107,2.523474,-0448329,-0552107,11:57:37.707257
2.533471,-0447615,-0551237,2.533471,-0447615,-0551237,11:57:37.707257
2.543566,-0448381,-0551684,2.543566,-0448381,-0551684,11:57:37.707257
2.553562,-0447861,-0551771,2.553562,-0447861,-0551771,11:57:37.707257
2.563558,-0448284,-0551178,2.563558,-0448284,-0551178,11:57:37.752092
2.573603,-0448284,-0552000,2.573603,-0448284,-0552000,11:57:37.752092
2.583599,-0447604,-0551298,2.583599,-0447604,-0551298,11:57:37.752092
2.593595,-0448430,-0551587,2.593595,-0448430,-0551587,11:57:37.752092
2.603591,-0447958,-0551720,2.603591,-0447958,-0551720,11:57:37.752092
2.613608,-0447969,-0551084,2.613608,-0447969,-0551084,11:57:37.798658
2.623643,-0448382,-0552018,2.623643,-0448382,-0552018,11:57:37.798658
2.633641,-0447556,-0551151,2.633641,-0447556,-0551151,11:57:37.799670
2.643637,-0448396,-0551428,2.643637,-0448396,-0551428,11:57:37.799670
2.653632,-0447919,-0551929,2.653632,-0447919,-0551929,11:57:37.845780
2.663666,-0448038,-0551058,2.663666,-0448038,-0551058,11:57:37.845780
2.673670,-0448392,-0551855,2.673670,-0448392,-0551855,11:57:37.845780
2.683668,-0447616,-0551261,2.683668,-0447616,-0551261,11:57:37.845780
2.693665,-0448359,-0551664,2.693665,-0448359,-0551664,11:57:37.845780
2.703666,-0448020,-0551704,2.703666,-0448020,-0551704,11:57:37.891890
2.713715,-0447868,-0551116,2.713715,-0447868,-0551116,11:57:37.891890
2.723756,-0448358,-0551973,2.723756,-0448358,-0551973,11:57:37.892381
2.733750,-0447656,-0551106,2.733750,-0447656,-0551106,11:57:37.892381
2.743746,-0448380,-0551462,2.743746,-0448380,-0551462,11:57:37.892381
2.753752,-0447961,-0551821,2.753752,-0447961,-0551821,11:57:37.938335
2.763786,-0448006,-0551085,2.763786,-0448006,-0551085,11:57:37.938335
2.773819,-0448435,-0551985,2.773819,-0448435,-0551985,11:57:37.938335
2.783818,-0447677,-0551321,2.783818,-0447677,-0551321,11:57:37.938335
2.793814,-0448515,-0551452,2.793814,-0448515,-0551452,11:57:37.985327
2.803847,-0447978,-0551816,2.803847,-0447978,-0551816,11:57:37.985327
2.813845,-0448009,-0551030,2.813845,-0448009,-0551030,11:57:37.985327
2.823873,-0448475,-0551989,2.823873,-0448475,-0551989,11:57:37.985327
2.833871,-0447609,-0551407,2.833871,-0447609,-0551407,11:57:37.985327
2.843868,-0448436,-0551400,2.843868,-0448436,-0551400,11:57:38.032336
2.853951,-0447956,-0551882,2.853951,-0447956,-0551882,11:57:38.032336
2.863946,-0447990,-0551069,2.863946,-0447990,-0551069,11:57:38.033320
2.873946,-0448408,-0551925,2.873946,-0448408,-0551925,11:57:38.033320
2.883941,-0447469,-0551418,2.883941,-0447469,-0551418,11:57:38.034318
2.893940,-0448617,-0551459,2.893940,-0448617,-0551459,11:57:38.078539
2.903976,-0447876,-0551888,2.903976,-0447876,-0551888,11:57:38.079540
2.913978,-0447999,-0551074,2.913978,-0447999,-0551074,11:57:38.079540
2.924002,-0448388,-0551957,2.924002,-0448388,-0551957,11:57:38.079540
2.934019,-0447655,-0551347,2.934019,-0447655,-0551347,11:57:38.126051
2.944056,-0448396,-0551497,2.944056,-0448396,-0551497,11:57:38.126051
2.954053,-0448021,-0551939,2.954053,-0448021,-0551939,11:57:38.126051
2.964051,-0447920,-0551062,2.964051,-0447920,-0551062,11:57:38.126051
2.974050,-0448419,-0551946,2.974050,-0448419,-0551946,11:57:38.126051
2.984048,-0447681,-0551375,2.984048,-0447681,-0551375,11:57:38.171892
2.994120,-0448407,-0551642,2.994120,-0448407,-0551642,11:57:38.171892
3.004117,-0448083,-0551949,3.004117,-0448083,-0551949,11:57:38.171892
3.014113,-0447940,-0551068,3.014113,-0447940,-0551068,11:57:38.171892
3.024134,-0448350,-0551877,3.024134,-0448350,-0551877,11:57:38.221443
3.034150,-0447546,-0551292,3.034150,-0447546,-0551292,11:57:38.221443
3.044179,-0447941,-0551445,3.044179,-0447941,-0551445,11:57:38.221443
3.054209,-0447941,-0551856,3.054209,-0447941,-0551856,11:57:38.221443
3.064207,-0447831,-0551117,3.064207,-0447831,-0551117,11:57:38.221443
3.074200,-0447534,-0551848,3.074200,-0447534,-0551848,11:57:38.268459
3.084258,-0447534,-0551200,3.084258,-0447534,-0551200,11:57:38.268459
3.094277,-0448391,-0551382,3.094277,-0448391,-0551382,11:57:38.268459
3.104271,-0447985,-0551815,3.104271,-0447985,-0551815,11:57:38.268459
3.114265,-0447866,-0551012,3.114265,-0447866,-0551012,11:57:38.268459
3.124262,-0448259,-0551998,3.124262,-0448259,-0551998,11:57:38.311398
3.134330,-0447541,-0551410,3.134330,-0447541,-0551410,11:57:38.311398
3.144328,-0448416,-0551440,3.144328,-0448416,-0551440,11:57:38.311398
3.154325,-0448023,-0551865,3.154325,-0448023,-0551865,11:57:38.312398
3.164321,-0447879,-0551029,3.164321,-0447879,-0551029,11:57:38.360064
3.174333,-0448405,-0551803,3.174333,-0448405,-0551803,11:57:38.360064
3.184362,-0447651,-0551350,3.184362,-0447651,-0551350,11:57:38.360064
3.194356,-0448269,-0551408,3.194356,-0448269,-0551408,11:57:38.360064
3.204352,-0448094,-0551915,3.204352,-0448094,-0551915,11:57:38.360064
